Obsv.	Frame	Capture Time	System Time	Sensor Time	Lft X Pos	Lft Y Pos	Lft Pupil Diameter	Rt X Pos	Rt Y Pos	Rt Pupil Diameter	L Display	R Display	L Quality	R Quality	Lft Pupil Quality	Rt Pupil Quality	L Eye Rot (X)	L Eye Rot (Y)	L Eye Rot (Z)	R Eye Rot (X)	R Eye Rot (Y)	R Eye Rot (Z)	L Eye Pos (X)	L Eye Pos (Y)	L Eye Pos (Z)	R Eye Pos (X)	R Eye Pos (Y)	R Eye Pos (Z)	Head Rot (X)	Head Rot (Y)	Head Rot (Z)	Head Pos (X)	Head Pos (Y)	Head Pos (Z)	L Eyelid Valid	L Eyelid Opening	R Eyelid Valid	R Eyelid Opening
1	772	771640039092	1695979455850310	771627858001	366.442900	439.145000	3.067913	366.442900	439.145000	3.487726	1	1	3	3	0	0	-0.196965	0.506788	0.000000	-0.185361	0.598627	0.000000	-0.072898	0.396621	0.146657	-0.022746	0.396907	0.143655	-0.000000	0.000000	0.000000	-0.047822	0.396764	0.145156	0	0.000000	0	0.000000
2	773	771640054053	1695979455865271	771627874143	367.652200	429.180300	3.022018	367.652200	429.180300	3.479838	1	1	3	3	0	0	-0.191181	0.485639	0.000000	-0.183390	0.590009	0.000000	-0.072988	0.394508	0.144294	-0.023032	0.396497	0.143228	-0.000000	0.000000	0.000000	-0.048010	0.395502	0.143761	0	0.000000	0	0.000000
3	774	771640069011	1695979455880229	771627890350	370.175700	432.325900	3.021517	370.175700	432.325900	3.457032	1	1	3	3	0	0	-0.195764	0.489484	0.000000	-0.182743	0.587536	0.000000	-0.073086	0.396796	0.146891	-0.022964	0.395753	0.142308	-0.000000	0.000000	0.000000	-0.048025	0.396274	0.144599	0	0.000000	0	0.000000
4	775	771640085997	1695979455897215	771627906592	372.235900	432.742200	2.988822	372.235900	432.742200	3.451501	1	1	3	3	0	0	-0.196420	0.490547	0.000000	-0.183533	0.581124	0.000000	-0.073439	0.397226	0.147451	-0.023220	0.396004	0.142661	-0.000000	0.000000	0.000000	-0.048330	0.396615	0.145056	0	0.000000	0	0.000000
5	776	771640100957	1695979455912175	771627922778	374.170500	437.592700	2.971489	374.170500	437.592700	3.460000	1	1	3	3	0	0	-0.199280	0.494902	0.000000	-0.185972	0.582921	0.000000	-0.073418	0.398548	0.148930	-0.023073	0.396817	0.143467	-0.000000	0.000000	0.000000	-0.048246	0.397683	0.146198	0	0.000000	0	0.000000
6	777	771640118907	1695979455930125	771627939006	391.146600	433.556900	3.009336	391.146600	433.556900	3.463217	1	1	3	3	0	0	-0.208040	0.446947	0.000000	-0.182838	0.566379	0.000000	-0.074238	0.402748	0.153805	-0.023418	0.396307	0.142985	-0.000000	0.000000	0.000000	-0.048828	0.399528	0.148395	0	0.000000	0	0.000000
7	778	771640134865	1695979455946084	771627955217	378.079600	441.073100	3.022346	378.079600	441.073100	3.473841	1	1	3	3	0	0	-0.204484	0.501822	0.000000	-0.187202	0.572141	0.000000	-0.073988	0.402241	0.153002	-0.023231	0.398245	0.145010	-0.000000	0.000000	0.000000	-0.048609	0.400243	0.149006	0	0.000000	0	0.000000
8	779	771640152818	1695979455964036	771627971422	718.618900	230.240700	3.052486	718.618900	230.240700	3.478358	1	1	3	3	0	0	-0.126306	-0.712517	0.000000	-0.160618	0.496497	0.000000	-0.078193	0.403316	0.155051	-0.023429	0.400255	0.146995	-0.000000	0.000000	0.000000	-0.050811	0.401785	0.151023	0	0.000000	0	0.000000
9	780	771640167776	1695979455978995	771627987688	337.316500	305.725000	3.102364	337.316500	305.725000	3.458493	1	1	3	3	0	0	-0.139735	0.362141	0.000000	-0.158882	0.543989	0.000000	-0.074280	0.404443	0.154985	-0.023237	0.399388	0.145594	-0.000000	0.000000	0.000000	-0.048758	0.401916	0.150289	0	0.000000	0	0.000000
10	781	771640182735	1695979455993954	771628003882	0.000000	0.000000	0.000000	333.992100	265.485000	3.478910	0	1	0	3	0	0	0.000000	0.000000	0.000000	-0.139088	0.435823	0.000000	0.000000	0.000000	0.000000	-0.023507	0.399685	0.145927	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
