world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,-549596.087081,"[[ 2.18311500e-03 -2.16561322e-04 -1.92523017e+00]
 [ 1.54566364e-04 -1.25378262e-03  8.36385381e-01]
 [ 5.32462027e-05  7.26888258e-04  3.77988433e-01]]","[[ 4.00148916e+02  4.87324770e+02  9.59784531e+02]
 [ 5.13742743e+00 -3.43126373e+02  7.85411897e+02]
 [-6.62473868e-02  5.91198878e-01  1.00000000e+00]]",13,"[[ 3.18335135e-03 -2.13125744e-04 -2.78457423e+00]
 [-1.92077266e-04 -1.66878192e-03  1.39052364e+00]
 [-4.75103015e-04  6.22813766e-04  9.85942023e-01]]","[[ 4.69127496e+02  2.84713003e+02  9.23401329e+02]
 [ 8.80333288e+01 -3.39165608e+02  7.26972905e+02]
 [ 1.70451725e-01  3.51445631e-01  1.00000000e+00]]",14
1,-549596.014951,"[[ 2.18192439e-03 -2.17656015e-04 -1.92345038e+00]
 [ 1.53197360e-04 -1.25248785e-03  8.36245080e-01]
 [ 5.44914223e-05  7.25800552e-04  3.77891255e-01]]","[[ 4.00168759e+02  4.86681300e+02  9.59852605e+02]
 [ 4.56521838e+00 -3.44265725e+02  7.85071064e+02]
 [-6.64720405e-02  5.91038543e-01  1.00000000e+00]]",13,"[[ 3.18063108e-03 -2.15371043e-04 -2.78083825e+00]
 [-1.93220392e-04 -1.66599898e-03  1.38914285e+00]
 [-4.73701337e-04  6.22673765e-04  9.84964352e-01]]","[[ 4.69228089e+02  2.84507109e+02  9.23512002e+02]
 [ 8.75798018e+01 -3.39950771e+02  7.26712032e+02]
 [ 1.70300913e-01  3.51738439e-01  1.00000000e+00]]",14
2,-549595.9648409999,"[[ 2.18143046e-03 -2.17057372e-04 -1.92358803e+00]
 [ 1.53589373e-04 -1.25259585e-03  8.35912728e-01]
 [ 5.45704206e-05  7.25586025e-04  3.77998547e-01]]","[[ 4.00133670e+02  4.86708487e+02  9.59915115e+02]
 [ 4.60908850e+00 -3.44390376e+02  7.85046103e+02]
 [-6.66133589e-02  5.90809036e-01  1.00000000e+00]]",13,"[[ 3.18058245e-03 -2.14593195e-04 -2.78153733e+00]
 [-1.92689282e-04 -1.66607072e-03  1.38867582e+00]
 [-4.73725935e-04  6.22487065e-04  9.85163261e-01]]","[[ 4.69210662e+02  2.84633085e+02  9.23566604e+02]
 [ 8.76374708e+01 -3.39992898e+02  7.26688501e+02]
 [ 1.70250022e-01  3.51697297e-01  1.00000000e+00]]",14
3,-549595.9189139999,"[[ 2.18121021e-03 -2.16411672e-04 -1.92375243e+00]
 [ 1.53803230e-04 -1.25290998e-03  8.35564849e-01]
 [ 5.44501496e-05  7.25546923e-04  3.78383288e-01]]","[[ 4.00182106e+02  4.86701048e+02  9.59823079e+02]
 [ 4.70442188e+00 -3.44529052e+02  7.84724163e+02]
 [-6.66077365e-02  5.90594395e-01  1.00000000e+00]]",13,"[[ 3.17961619e-03 -2.13966534e-04 -2.78103469e+00]
 [-1.92206359e-04 -1.66583637e-03  1.38769621e+00]
 [-4.74136751e-04  6.22635263e-04  9.85551642e-01]]","[[ 4.69439611e+02  2.84889296e+02  9.23531563e+02]
 [ 8.77748208e+01 -3.40040758e+02  7.26474454e+02]
 [ 1.70388711e-01  3.51881969e-01  1.00000000e+00]]",14
4,-549595.8729839999,"[[ 2.18134078e-03 -2.15875544e-04 -1.92399281e+00]
 [ 1.53540761e-04 -1.25262035e-03  8.35113691e-01]
 [ 5.47494030e-05  7.24950931e-04  3.78864950e-01]]","[[ 4.00108153e+02  4.86436814e+02  9.59643182e+02]
 [ 4.61211614e+00 -3.45196758e+02  7.84322269e+02]
 [-6.66444348e-02  5.90232974e-01  1.00000000e+00]]",13,"[[ 3.17890516e-03 -2.13782036e-04 -2.78030428e+00]
 [-1.91733573e-04 -1.66450146e-03  1.38579674e+00]
 [-4.73597598e-04  6.22548043e-04  9.85255343e-01]]","[[ 4.69345817e+02  2.85101809e+02  9.23446935e+02]
 [ 8.76554401e+01 -3.40433616e+02  7.26187982e+02]
 [ 1.70221182e-01  3.52152176e-01  1.00000000e+00]]",14
5,-549595.8260379999,"[[ 2.18132552e-03 -2.16063663e-04 -1.92367063e+00]
 [ 1.53408765e-04 -1.25250540e-03  8.35330071e-01]
 [ 5.49478873e-05  7.24697847e-04  3.78777505e-01]]","[[ 4.00071286e+02  4.86199186e+02  9.59583333e+02]
 [ 4.52325882e+00 -3.45293436e+02  7.84458544e+02]
 [-6.66910455e-02  5.90103129e-01  1.00000000e+00]]",13,"[[ 3.17840272e-03 -2.13958050e-04 -2.77949840e+00]
 [-1.92164742e-04 -1.66435162e-03  1.38628416e+00]
 [-4.73481493e-04  6.22219190e-04  9.85280774e-01]]","[[ 4.69401934e+02  2.84866153e+02  9.23388050e+02]
 [ 8.76074574e+01 -3.40563818e+02  7.26313792e+02]
 [ 1.70248007e-01  3.51964845e-01  1.00000000e+00]]",14
6,-549595.7798609999,"[[ 2.18006718e-03 -2.16188955e-04 -1.92247856e+00]
 [ 1.53044210e-04 -1.25215434e-03  8.35469665e-01]
 [ 5.49279874e-05  7.24860571e-04  3.78622898e-01]]","[[ 4.00376638e+02  4.86401039e+02  9.59641351e+02]
 [ 4.47042726e+00 -3.45245398e+02  7.84517681e+02]
 [-6.66423493e-02  5.90396797e-01  1.00000000e+00]]",13,"[[ 3.17666898e-03 -2.14115505e-04 -2.77790495e+00]
 [-1.92708117e-04 -1.66384878e-03  1.38650166e+00]
 [-4.73644274e-04  6.22540602e-04  9.85189882e-01]]","[[ 4.69771722e+02  2.85054065e+02  9.23429354e+02]
 [ 8.76432594e+01 -3.40522916e+02  7.26357675e+02]
 [ 1.70467848e-01  3.52219986e-01  1.00000000e+00]]",14
7,-549595.7356649999,"[[ 2.17866652e-03 -2.17154584e-04 -1.92078913e+00]
 [ 1.52020516e-04 -1.25209972e-03  8.36187749e-01]
 [ 5.50067069e-05  7.25387761e-04  3.78237203e-01]]","[[ 4.00813665e+02  4.86542372e+02  9.59815051e+02]
 [ 4.26876641e+00 -3.44988858e+02  7.84361913e+02]
 [-6.64766725e-02  5.90866259e-01  1.00000000e+00]]",13,"[[ 3.17447366e-03 -2.15544794e-04 -2.77535199e+00]
 [-1.94510329e-04 -1.66371608e-03  1.38791317e+00]
 [-4.74085112e-04  6.23159093e-04  9.85290402e-01]]","[[ 4.70405830e+02  2.84991973e+02  9.23583178e+02]
 [ 8.76027196e+01 -3.40392020e+02  7.26245734e+02]
 [ 1.70936375e-01  3.52412683e-01  1.00000000e+00]]",14
8,-549595.6901519999,"[[ 2.17749627e-03 -2.17540193e-04 -1.91954649e+00]
 [ 1.50495965e-04 -1.25227012e-03  8.37058713e-01]
 [ 5.52858984e-05  7.25163893e-04  3.78561455e-01]]","[[ 4.01275436e+02  4.86116264e+02  9.59841511e+02]
 [ 3.96961112e+00 -3.45365348e+02  7.83785362e+02]
 [-6.62071939e-02  5.90580745e-01  1.00000000e+00]]",13,"[[ 3.17203065e-03 -2.16712766e-04 -2.77263732e+00]
 [-1.95765500e-04 -1.66267547e-03  1.38759526e+00]
 [-4.73495710e-04  6.23905933e-04  9.84524968e-01]]","[[ 4.70738775e+02  2.85246075e+02  9.23675705e+02]
 [ 8.73292421e+01 -3.40471641e+02  7.25800945e+02]
 [ 1.71054634e-01  3.52946935e-01  1.00000000e+00]]",14
9,-549595.643956,"[[ 2.17876084e-03 -2.19867882e-04 -1.91900790e+00]
 [ 1.50255601e-04 -1.25156975e-03  8.36458262e-01]
 [ 5.67794165e-05  7.24654476e-04  3.77689096e-01]]","[[ 4.00487618e+02  4.85395752e+02  9.59851941e+02]
 [ 3.43610163e+00 -3.45921126e+02  7.83561116e+02]
 [-6.67994917e-02  5.90731390e-01  1.00000000e+00]]",13,"[[ 3.17210528e-03 -2.19969158e-04 -2.77041579e+00]
 [-1.95491190e-04 -1.66088184e-03  1.38577646e+00]
 [-4.71296762e-04  6.24104750e-04  9.82455103e-01]]","[[ 4.70039403e+02  2.84838843e+02  9.23687624e+02]
 [ 8.68024388e+01 -3.40914063e+02  7.25640822e+02]
 [ 1.70342883e-01  3.53206686e-01  1.00000000e+00]]",14
10,-549595.6003919999,"[[ 2.18024483e-03 -2.18761096e-04 -1.92162312e+00]
 [ 1.51522574e-04 -1.25165188e-03  8.35442113e-01]
 [ 5.74225097e-05  7.24031678e-04  3.77457987e-01]]","[[ 3.99639597e+02  4.85481924e+02  9.60013186e+02]
 [ 3.42026804e+00 -3.46208545e+02  7.83688978e+02]
 [-6.73576713e-02  5.90233538e-01  1.00000000e+00]]",13,"[[ 3.17605882e-03 -2.18519752e-04 -2.77550380e+00]
 [-1.93983889e-04 -1.66165007e-03  1.38505994e+00]
 [-4.70742582e-04  6.23032192e-04  9.82745048e-01]]","[[ 4.69166918e+02  2.84682517e+02  9.23812558e+02]
 [ 8.67255126e+01 -3.41117776e+02  7.25697430e+02]
 [ 1.69753143e-01  3.52624050e-01  1.00000000e+00]]",14
11,-549595.5524419999,"[[ 2.17845048e-03 -2.16373740e-04 -1.92156215e+00]
 [ 1.52214878e-04 -1.25087757e-03  8.34649963e-01]
 [ 5.55880992e-05  7.23843630e-04  3.79097505e-01]]","[[ 4.00573845e+02  4.86205260e+02  9.59954449e+02]
 [ 4.20041213e+00 -3.46451498e+02  7.84064995e+02]
 [-6.67574432e-02  5.90216187e-01  1.00000000e+00]]",13,"[[ 3.17514505e-03 -2.15152650e-04 -2.77680080e+00]
 [-1.92810873e-04 -1.66126833e-03  1.38411235e+00]
 [-4.72877454e-04  6.22599187e-04  9.84834298e-01]]","[[ 4.69846312e+02  2.85340931e+02  9.23734796e+02]
 [ 8.73978113e+01 -3.41200033e+02  7.25955109e+02]
 [ 1.70349390e-01  3.52711270e-01  1.00000000e+00]]",14
12,-549595.506555,"[[ 2.17993612e-03 -2.14646058e-04 -1.92342609e+00]
 [ 1.53000279e-04 -1.25196606e-03  8.34668235e-01]
 [ 5.53053957e-05  7.23907547e-04  3.79427873e-01]]","[[ 4.00262355e+02  4.86187851e+02  9.59522288e+02]
 [ 4.40997892e+00 -3.46208441e+02  7.83947300e+02]
 [-6.67559943e-02  5.89661718e-01  1.00000000e+00]]",13,"[[ 3.17584336e-03 -2.12691191e-04 -2.77821095e+00]
 [-1.91847086e-04 -1.66207707e-03  1.38375013e+00]
 [-4.73287910e-04  6.22405750e-04  9.85200651e-01]]","[[ 4.69748493e+02  2.85682476e+02  9.23413157e+02]
 [ 8.75875167e+01 -3.41012744e+02  7.25956712e+02]
 [ 1.70332113e-01  3.52677756e-01  1.00000000e+00]]",14
13,-549595.460446,"[[ 2.18033818e-03 -2.15663579e-04 -1.92311957e+00]
 [ 1.52993762e-04 -1.25228210e-03  8.35117027e-01]
 [ 5.55293436e-05  7.24424457e-04  3.78685794e-01]]","[[ 4.00088723e+02  4.86203201e+02  9.59586780e+02]
 [ 4.28673901e+00 -3.45685299e+02  7.84110719e+02]
 [-6.68683197e-02  5.89999264e-01  1.00000000e+00]]",13,"[[ 3.17693367e-03 -2.13968197e-04 -2.77838443e+00]
 [-1.92475021e-04 -1.66348397e-03  1.38553563e+00]
 [-4.73034741e-04  6.22238976e-04  9.85038989e-01]]","[[ 4.69536011e+02  2.85028721e+02  9.23449837e+02]
 [ 8.74604645e+01 -3.40808149e+02  7.26063269e+02]
 [ 1.70232384e-01  3.52161290e-01  1.00000000e+00]]",14
14,-549595.415481,"[[ 2.18014089e-03 -2.16180133e-04 -1.92281959e+00]
 [ 1.52783818e-04 -1.25232691e-03  8.35557075e-01]
 [ 5.55591793e-05  7.24297744e-04  3.78616833e-01]]","[[ 4.00169080e+02  4.85998294e+02  9.59739765e+02]
 [ 4.23534564e+00 -3.45640409e+02  7.84291843e+02]
 [-6.68240678e-02  5.89896915e-01  1.00000000e+00]]",13,"[[ 3.17724745e-03 -2.14487761e-04 -2.77856983e+00]
 [-1.92930331e-04 -1.66387229e-03  1.38643083e+00]
 [-4.72947855e-04  6.22098891e-04  9.85039063e-01]]","[[ 4.69503773e+02  2.84776753e+02  9.23542813e+02]
 [ 8.74010861e+01 -3.40770105e+02  7.26168358e+02]
 [ 1.70225415e-01  3.51942651e-01  1.00000000e+00]]",14
15,-549595.3700979999,"[[ 2.18159495e-03 -2.15130691e-04 -1.92424340e+00]
 [ 1.53633750e-04 -1.25272278e-03  8.35329327e-01]
 [ 5.55384195e-05  7.24222453e-04  3.78585428e-01]]","[[ 3.99731064e+02  4.85997078e+02  9.59393107e+02]
 [ 4.35968204e+00 -3.45492646e+02  7.84470838e+02]
 [-6.69804204e-02  5.89621271e-01  1.00000000e+00]]",13,"[[ 3.17816207e-03 -2.12682084e-04 -2.77972834e+00]
 [-1.91792891e-04 -1.66409689e-03  1.38581277e+00]
 [-4.72649507e-04  6.21906130e-04  9.84639187e-01]]","[[ 4.69153217e+02  2.85073220e+02  9.23242135e+02]
 [ 8.74662975e+01 -3.40648291e+02  7.26364851e+02]
 [ 1.69959933e-01  3.51997952e-01  1.00000000e+00]]",14
16,-549595.3257569999,"[[ 2.18112887e-03 -2.15566115e-04 -1.92346445e+00]
 [ 1.53408599e-04 -1.25231887e-03  8.35351413e-01]
 [ 5.47383532e-05  7.24512572e-04  3.79052237e-01]]","[[ 4.00206496e+02  4.86163566e+02  9.59407462e+02]
 [ 4.60425279e+00 -3.45408148e+02  7.84570758e+02]
 [-6.65936805e-02  5.89999823e-01  1.00000000e+00]]",13,"[[ 3.17726879e-03 -2.13146178e-04 -2.77853094e+00]
 [-1.92208025e-04 -1.66381261e-03  1.38611900e+00]
 [-4.73794280e-04  6.22067413e-04  9.85527298e-01]]","[[ 4.69650579e+02  2.85014625e+02  9.23236199e+02]
 [ 8.77188753e+01 -3.40663490e+02  7.26443345e+02]
 [ 1.70417100e-01  3.52049056e-01  1.00000000e+00]]",14
17,-549595.278664,"[[ 2.18067237e-03 -2.16326317e-04 -1.92216704e+00]
 [ 1.52723240e-04 -1.25275222e-03  8.36258050e-01]
 [ 5.48645464e-05  7.24584577e-04  3.78945772e-01]]","[[ 4.00423596e+02  4.85695367e+02  9.59278093e+02]
 [ 4.44378584e+00 -3.45269743e+02  7.84482431e+02]
 [-6.64711404e-02  5.89872460e-01  1.00000000e+00]]",13,"[[ 3.17509269e-03 -2.14129540e-04 -2.77550317e+00]
 [-1.93270939e-04 -1.66382086e-03  1.38704658e+00]
 [-4.73733194e-04  6.22346306e-04  9.85237402e-01]]","[[ 4.70022865e+02  2.84806003e+02  9.23138684e+02]
 [ 8.76516350e+01 -3.40592417e+02  7.26418765e+02]
 [ 1.70634774e-01  3.52086197e-01  1.00000000e+00]]",14
18,-549595.23327,"[[ 2.18115311e-03 -2.17552093e-04 -1.92145022e+00]
 [ 1.51807315e-04 -1.25245282e-03  8.36668074e-01]
 [ 5.53314804e-05  7.25071559e-04  3.78268213e-01]]","[[ 4.00333919e+02  4.85739102e+02  9.59158833e+02]
 [ 4.12403346e+00 -3.45112468e+02  7.84281359e+02]
 [-6.64641831e-02  5.90466139e-01  1.00000000e+00]]",13,"[[ 3.17532356e-03 -2.16120202e-04 -2.77409855e+00]
 [-1.94018514e-04 -1.66356457e-03  1.38725824e+00]
 [-4.72279921e-04  6.22877049e-04  9.83584024e-01]]","[[ 4.69611576e+02  2.84610862e+02  9.23073174e+02]
 [ 8.72118079e+01 -3.40523802e+02  7.26250715e+02]
 [ 1.70260883e-01  3.52303868e-01  1.00000000e+00]]",14
