# timestamps [seconds],pts
-549130.051499,4129
-549130.038921,4953
-549130.033913,5281
-549130.027489,5702
-549130.019425,6231
-549130.011477,6752
-549130.003479,7276
-549129.991480,8062
-549129.983552,8582
-549129.972809,9286
-549129.963572,9891
-549129.953165,10573
-549129.943651,11197
-549129.936190,11686
-549129.931286,12007
-549129.922192,12603
-549129.915235,13059
-549129.907475,13567
-549129.899486,14091
-549129.891435,14619
-549129.883495,15139
-549129.872959,15829
-549129.863097,16476
-549129.852591,17164
-549129.844151,17717
-549129.839820,18001
-549129.834159,18372
-549129.823493,19071
-549129.815486,19596
-549129.807465,20122
-549129.799514,20643
-549129.791472,21170
-549129.781367,21832
-549129.775468,22218
-549129.766806,22786
-549129.759489,23266
-549129.751501,23789
-549129.739452,24579
-549129.731454,25103
-549129.723399,25631
-549129.715423,26154
-549129.707452,26676
-549129.697658,27318
-549129.691431,27726
-549129.683055,28275
-549129.675339,28780
-549129.667486,29295
-549129.655451,30084
-549129.647463,30607
-549129.639388,31136
-549129.631329,31665
-549129.623375,32186
-549129.614647,32758
-549129.606724,33277
-549129.599470,33753
-549129.591026,34306
-549129.580836,34974
-549129.571401,35592
-549129.563485,36111
-549129.553250,36782
-549129.544480,37356
-549129.534801,37991
-549129.530006,38305
-549129.521592,38856
-549129.515423,39261
-549129.506133,39869
-549129.495594,40560
-549129.487473,41092
-549129.477091,41773
-549129.470646,42195
-549129.463495,42664
-549129.453282,43333
-549129.445479,43844
-549129.436329,44444
-549129.431469,44762
-549129.422079,45378
-549129.412483,46007
-549129.403481,46597
-549129.393681,47239
-549129.385612,47768
-549129.376026,48396
-549129.368301,48902
-549129.358659,49534
-549129.350421,50074
-549129.346126,50355
-549129.339454,50793
-549129.331444,51318
-549129.319472,52102
-549129.311438,52629
-549129.303468,53151
-549129.295471,53675
-549129.287475,54199
-549129.277862,54829
-549129.271486,55247
-549129.263154,55793
-549129.253644,56416
-549129.247390,56826
-549129.235468,57607
-549129.225932,58232
-549129.217359,58794
-549129.208317,59387
-549129.200207,59918
-549129.195457,60230
-549129.186165,60838
-549129.179462,61278
-549129.171476,61801
-549129.162149,62412
-549129.151497,63110
-549129.143443,63638
-549129.135459,64161
-549129.125883,64789
-549129.118078,65301
-549129.106590,66053
-549129.098353,66593
-549129.093676,66900
-549129.082448,67636
-549129.073652,68212
-549129.063769,68860
-549129.058879,69180
-549129.050490,69730
-549129.040759,70368
-549129.032669,70898
-549129.027429,71241
-549129.019469,71763
-549129.011432,72290
-549129.000909,72979
-549128.995460,73336
-549128.983583,74115
-549128.975460,74647
-549128.967443,75172
-549128.959480,75694
-549128.951487,76218
-549128.943488,76742
-549128.935472,77268
-549128.927469,77792
-549128.919471,78316
-549128.908270,79050
-549128.899128,79649
-549128.889206,80300
-549128.880598,80864
-549128.870489,81526
-549128.861950,82086
-549128.851845,82748
-549128.842560,83357
-549128.832389,84023
-549128.827474,84345
-549128.815391,85137
-549128.804783,85832
-549128.796603,86368
-549128.791482,86704
-549128.783613,87220
-549128.775174,87773
-549128.764415,88478
-549128.756095,89023
-549128.746175,89673
-549128.737016,90273
-549128.725449,91031
-549128.720365,91365
-549128.715435,91688
-549128.707440,92212
-549128.698607,92791
-549128.687567,93514
-549128.682994,93814
-549128.675461,94307
-549128.667453,94832
-549128.655422,95621
-549128.647476,96141
-549128.639445,96668
-549128.628833,97363
-549128.619572,97970
-549128.615350,98247
-549128.605169,98914
-549128.599501,99285
-549128.591319,99822
-549128.578973,100631
-549128.573113,101015
-549128.560809,101821
-549128.554761,102218
-549128.547119,102718
-549128.538302,103296
-549128.531422,103747
-549128.523390,104273
-549128.511850,105030
-549128.506610,105373
-549128.496837,106014
-549128.487438,106630
-549128.477509,107280
-549128.463907,108172
-549128.454225,108806
-549128.442963,109544
-549128.434086,110126
-549128.423013,110852
-549128.412885,111515
-549128.402048,112226
-549128.392116,112876
-549128.383871,113417
-549128.378857,113745
-549128.371403,114234
-549128.363486,114753
-549128.355345,115286
-549128.347494,115801
-549128.339394,116332
-549128.331443,116853
-549128.319506,117635
-549128.311493,118160
-549128.303443,118688
-549128.295490,119209
-549128.287452,119736
-549128.279405,120263
-549128.271499,120781
-549128.263430,121310
-549128.255477,121831
-549128.247502,122354
-549128.239511,122877
-549128.227491,123665
-549128.219451,124192
-549128.208258,124926
-549128.203107,125263
-549128.195479,125763
-549128.187417,126291
-549128.179467,126812
-549128.171443,127338
-549128.163476,127860
-549128.155435,128387
-549128.143477,129171
-549128.135482,129695
-549128.127480,130219
-549128.119502,130742
-549128.111504,131266
-549128.103488,131792
-549128.095507,132315
-549128.087412,132845
-549128.079516,133363
-549128.069632,134010
-549128.059484,134675
-549128.051468,135201
-549128.043404,135729
-549128.035440,136251
-549128.027256,136788
-549128.018722,137347
-549128.008897,137991
-549128.003469,138346
-549127.995392,138876
-549127.987437,139397
-549127.975391,140187
-549127.963125,140990
-549127.954194,141576
-549127.949627,141875
-549127.943488,142277
-549127.935466,142803
-549127.927515,143324
-549127.919492,143850
-549127.909573,144500
-549127.885227,146095
-549127.876383,146675
-549127.871384,147003
-549127.867126,147282
-549127.859473,147783
-549127.851458,148308
-549127.843409,148836
-549127.835446,149358
-549127.827405,149885
-549127.819474,150405
-549127.807422,151194
-549127.799486,151714
-549127.791470,152240
-549127.783545,152759
-549127.775419,153292
-549127.767437,153815
-549127.759491,154336
-549127.751471,154861
-549127.743455,155386
-549127.735473,155910
-549127.723292,156708
-549127.715318,157230
-549127.707307,157755
-549127.698988,158301
-549127.691068,158820
-549127.683340,159326
-549127.675329,159851
-549127.667475,160366
-549127.659466,160891
-549127.647343,161685
-549127.639431,162204
-549127.631451,162727
-549127.623146,163271
-549127.615411,163778
-549127.607474,164298
-549127.599485,164822
-549127.591450,165348
-549127.583536,165867
-549127.575430,166398
-549127.567516,166917
-549127.555400,167711
-549127.547472,168230
-549127.538925,168790
-549127.507132,170874
-549127.498975,171408
-549127.491407,171904
-549127.483412,172428
-549127.471419,173214
-549127.463487,173734
-549127.455431,174262
-549127.447513,174781
-549127.439442,175310
-549127.431474,175832
-549127.423296,176368
-549127.415497,176879
-549127.407499,177403
-549127.399394,177934
-549127.387410,178720
-549127.379439,179242
-549127.371466,179765
-549127.363391,180294
-549127.355431,180816
-549127.347397,181342
-549127.339387,181867
-549127.331463,182386
-549127.323231,182926
-549127.315449,183436
-549127.303424,184224
-549127.295513,184742
-549127.287381,185275
-549127.279357,185801
-549127.271480,186317
-549127.263481,186842
-549127.255449,187368
-549127.247509,187888
-549127.239345,188423
-549127.231358,188947
-549127.219465,189726
-549127.211453,190251
-549127.203452,190776
-549127.195467,191299
-549127.187241,191838
-549127.179485,192346
-549127.171424,192875
-549127.163478,193395
-549127.155429,193923
-549127.147494,194443
-549127.135496,195229
-549127.127489,195754
-549127.119475,196279
-549127.111466,196804
-549127.103466,197328
-549127.095518,197849
-549127.085757,198489
-549127.079507,198898
-549127.071486,199424
-549127.063500,199947
-549127.051485,200735
-549127.043461,201261
-549127.035474,201784
-549127.027475,202308
-549127.019448,202834
-549127.011452,203358
-549127.003482,203881
-549126.995426,204409
-549126.987316,204940
-549126.975210,205733
-549126.966280,206319
-549126.959477,206764
-549126.951427,207292
-549126.943489,207812
-549126.935433,208340
-549126.927496,208860
-549126.919370,209393
-549126.911491,209909
-549126.903424,210438
-549126.895518,210956
-549126.883446,211747
-549126.875435,212272
-549126.867480,212793
-549126.859423,213321
-549126.848038,214068
-549126.843275,214380
-549126.835382,214897
-549126.827475,215415
-549126.819427,215943
-549126.811477,216464
-549126.799332,217260
-549126.791073,217801
-549126.783582,218292
-549126.775491,218822
-549126.767497,219346
-549126.759465,219872
-549126.751502,220394
-549126.743438,220923
-549126.735508,221442
-549126.727462,221970
-549126.715449,222757
-549126.707458,223281
-549126.699482,223803
-549126.691404,224333
-549126.683452,224854
-549126.675429,225380
-549126.667480,225900
-549126.659434,226428
-549126.651480,226949
-549126.643416,227478
-549126.631468,228261
-549126.623415,228788
-549126.615358,229316
-549126.607493,229832
-549126.599379,230363
-549126.591467,230882
-549126.583563,231400
-549126.575438,231932
-549126.564910,232622
-549126.556011,233206
-549126.544888,233935
-549126.536148,234507
-549126.530865,234854
-549126.519972,235567
-549126.508691,236307
-549126.496900,237079
-549126.486378,237769
-549126.474823,238526
-549126.443718,240565
-549126.432388,241307
-549126.426600,241687
-549126.418109,242243
-549126.408009,242905
-549126.398875,243504
-549126.388722,244169
-549126.379475,244775
-549126.369584,245423
-549126.361391,245960
-549126.351595,246602
-549126.343365,247141
-549126.332296,247867
-549126.321224,248592
-549126.310238,249312
-549126.301065,249913
-549126.289869,250647
-549126.279178,251348
-549126.266362,252188
-549126.256161,252856
-549126.244764,253603
-549126.236188,254165
-549126.226646,254791
-549126.218547,255321
-549126.209192,255934
-549126.201019,256470
-549126.190179,257180
-549126.179134,257904
-549126.171446,258408
-549126.163423,258934
-549126.155380,259461
-549126.147342,259988
-549126.136613,260691
-549126.124873,261460
-549126.119407,261818
-549126.111451,262340
-549126.103443,262865
-549126.095470,263387
-549126.087449,263913
-549126.079503,264434
-549126.071428,264963
-549126.063446,265486
-549126.055460,266009
-549126.043442,266797
-549126.035428,267322
-549126.027479,267843
-549126.019414,268371
-549126.011470,268892
-549126.003443,269418
-549125.995442,269942
-549125.987378,270471
-549125.979475,270989
-549125.971421,271517
-549125.959484,272299
-549125.951244,272839
-549125.943498,273347
-549125.935466,273873
-549125.927442,274399
-549125.919431,274924
-549125.911500,275444
-549125.903440,275972
-549125.895380,276500
-549125.887452,277020
-549125.875401,277809
-549125.866036,278423
-549125.854842,279157
-549125.848649,279563
-549125.838575,280223
-549125.826430,281019
-549125.819350,281483
-549125.811449,282000
-549125.803403,282528
-549125.791373,283316
-549125.783588,283826
-549125.775479,284358
-549125.767466,284883
-549125.759453,285408
-549125.751471,285931
-549125.743472,286455
-549125.735456,286981
-549125.727311,287514
-549125.713612,288412
-549125.707476,288814
-549125.699427,289342
-549125.691475,289863
-549125.680932,290554
-549125.674494,290976
-549125.664623,291623
-549125.659467,291961
-549125.651454,292486
-549125.643475,293009
-549125.635326,293543
-549125.623498,294318
-549125.615454,294845
-549125.607494,295367
-549125.599489,295891
-549125.591494,296415
-549125.579446,297205
-549125.575047,297493
-549125.567458,297990
-549125.559467,298514
-549125.551505,299036
-549125.539403,299829
-549125.531477,300348
-549125.523434,300876
-549125.511889,301632
-549125.507127,301944
-549125.499484,302445
-549125.491407,302974
-549125.480999,303657
-549125.474971,304052
-549125.467490,304542
-549125.455470,305330
-549125.444754,306032
-549125.437706,306494
-549125.431482,306902
-549125.423481,307426
-549125.415475,307951
-549125.407515,308472
-549125.399422,309003
-549125.391499,309522
-549125.383582,310041
-549125.371420,310838
-549125.363447,311360
-549125.355266,311896
-549125.347317,312417
-549125.339451,312933
-549125.331458,313457
-549125.323367,313987
-549125.315441,314506
-549125.307452,315030
-549125.299363,315560
-549125.287250,316354
-549125.279471,316864
-549125.271407,317392
-549125.263464,317913
-549125.255414,318440
-549125.247469,318961
-549125.239467,319485
-549125.225165,320423
-549125.219531,320792
-549125.208981,321483
-549125.200972,322008
-549125.195416,322372
-549125.187444,322895
-549125.178894,323455
-549125.170008,324037
-549125.161811,324574
-549125.151826,325229
-549125.143981,325743
-549125.133753,326413
-549125.125891,326929
-549125.119383,327355
-549125.108466,328070
-549125.098852,328701
-549125.091925,329154
-549125.082203,329792
-549125.069379,330632
-549125.059058,331308
-549125.046710,332118
-549125.035261,332868
-549125.022236,333722
-549125.016774,334079
-549125.005384,334826
-549124.995176,335495
-549124.982913,336299
-549124.972855,336958
-549124.968012,337275
-549124.962274,337651
-549124.951465,338360
-549124.943474,338883
-549124.935463,339408
-549124.927468,339932
-549124.919468,340456
-549124.911491,340979
-549124.903478,341504
-549124.895486,342028
-549124.887385,342559
-549124.879513,343075
-549124.867371,343871
-549124.859440,344390
-549124.851407,344917
-549124.843359,345444
-549124.835457,345962
-549124.827209,346503
-549124.819238,347025
-549124.811423,347537
-549124.803393,348063
-549124.795426,348586
-549124.783533,349365
-549124.775480,349893
-549124.767461,350418
-549124.759499,350940
-549124.751450,351468
-549124.743491,351989
-549124.735428,352518
-549124.727401,353044
-549124.719473,353563
-549124.711416,354091
-549124.681109,356077
-549124.675218,356463
-549124.667392,356976
-549124.655312,357768
-549124.650632,358075
-549124.643483,358543
-549124.635474,359068
-549124.627443,359594
-549124.615468,360379
-549124.602956,361199
-549124.598457,361494
-549124.591495,361950
-549124.583605,362467
-549124.575483,363000
-549124.567493,363523
-549124.559483,364048
-549124.551372,364580
-549124.543514,365095
-549124.531375,365890
-549124.523359,366415
-549124.515476,366932
-549124.507421,367460
-549124.499488,367980
-549124.491455,368506
-549124.483469,369030
-549124.475466,369554
-549124.467425,370081
-549124.459483,370602
-549124.447471,371389
-549124.439514,371910
-549124.431495,372436
-549124.423443,372963
-549124.415495,373484
-549124.407493,374009
-549124.399496,374533
-549124.391439,375061
-549124.383589,375575
-549124.375492,376106
-549124.363411,376898
-549124.355460,377419
-549124.347465,377943
-549124.339442,378468
-549124.331478,378990
-549124.323439,379517
-549124.315477,380039
-549124.307470,380564
-549124.299478,381087
-549124.291450,381614
-549124.279458,382400
-549124.271502,382921
-549124.263465,383448
-549124.255475,383971
-549124.247511,384493
