# timestamps [seconds],pts
-549130.114920,0
-549130.042597,4739
-549129.990293,8167
-549129.944694,11155
-549129.898502,14182
-549129.855781,16982
-549129.811154,19907
-549129.769651,22627
-549129.726536,25452
-549129.685682,28130
-549129.640861,31067
-549129.596059,34003
-549129.546969,37220
-549129.499817,40310
-549129.451559,43473
-549129.405936,46463
-549129.362099,49336
-549129.318808,52173
-549129.272999,55175
-549129.226930,58194
-549129.181275,61186
-549129.128157,64667
-549129.079415,67861
-549129.033039,70901
-549128.989775,73736
-549128.945173,76659
-549128.900790,79568
-549128.858018,82371
-549128.813930,85260
-549128.764352,88509
-549128.719415,91454
-549128.675284,94346
-549128.628095,97439
-549128.575746,100869
-549128.520735,104474
-549128.470580,107761
-549128.423069,110875
-549128.376977,113896
-549128.330624,116933
-549128.285216,119909
-549128.238249,122987
-549128.195268,125804
-549128.152610,128599
-549128.108057,131519
-549128.061559,134567
-549128.017183,137475
-549127.973613,140330
-549127.923469,143616
-549127.879761,146481
-549127.836471,149318
-549127.789896,152370
-549127.740681,155595
-549127.694434,158626
-549127.644923,161871
-549127.601906,164690
-549127.553118,167887
-549127.508408,170817
-549127.464289,173709
-549127.417247,176792
-549127.370569,179851
-549127.325701,182791
-549127.281434,185692
-549127.237050,188601
-549127.193393,191462
-549127.151299,194220
-549127.108594,197019
-549127.065473,199845
-549127.018226,202941
-549126.972787,205919
-549126.929102,208782
-549126.885314,211652
-549126.840912,214562
-549126.798055,217370
-549126.755026,220190
-549126.711364,223052
-549126.664894,226097
-549126.618618,229130
-549126.567494,232480
-549126.498716,236987
-549126.447026,240375
-549126.398007,243587
-549126.341323,247302
-549126.283194,251112
-549126.233733,254353
-549126.183468,257647
-549126.133248,260938
-549126.085609,264060
-549126.038021,267179
-549125.990277,270308
-549125.944823,273287
-549125.894220,276603
-549125.845816,279775
-549125.796960,282977
-549125.746885,286259
-549125.700589,289293
-549125.656643,292173
-549125.607632,295385
-549125.561086,298435
-549125.514169,301510
-549125.469632,304428
-549125.425909,307294
-549125.379737,310320
-549125.332594,313409
-549125.283511,316626
-549125.232813,319948
-549125.188945,322823
-549125.152837,325190
-549125.115477,327638
-549125.078544,330058
-549125.038530,332681
-549124.998193,335324
-549124.957282,338005
-549124.914474,340811
-549124.868724,343809
-549124.822371,346847
-549124.777107,349813
-549124.733633,352662
-549124.690954,355459
-549124.645923,358410
-549124.601819,361301
-549124.558224,364158
-549124.516758,366875
-549124.472238,369793
-549124.429674,372582
-549124.387899,375320
-549124.346533,378031
-549124.303244,380868
-549124.260679,383657
-549124.216326,386564
-549124.172465,389438
-549124.127203,392405
-549124.081977,395368
-549124.036138,398372
-549123.987437,401564
-549123.940491,404641
-549123.891014,407883
-549123.840324,411205
-549123.790516,414469
-549123.738203,417898
-549123.687602,421214
-549123.637096,424524
-549123.589693,427630
-549123.541972,430758
-549123.493378,433942
-549123.445051,437109
-549123.404082,439794
-549123.364034,442419
-549123.319081,445365
-549123.274437,448291
-549123.226039,451462
-549123.180540,454444
-549123.132974,457561
-549123.089560,460406
-549123.047152,463186
-549123.005944,465886
-549122.965346,468547
-549122.921698,471407
-549122.878775,474220
-549122.836819,476970
-549122.794049,479773
-549122.750051,482656
-549122.709532,485312
-549122.666858,488108
-549122.625657,490808
-549122.583355,493581
-549122.544103,496153
-549122.505474,498685
-549122.468216,501126
-549122.426751,503844
-549122.387689,506404
-549122.345168,509190
-549122.303293,511934
-549122.260937,514710
-549122.217217,517575
-549122.173747,520424
-549122.129515,523323
-549122.084692,526260
-549122.039287,529236
-549121.993406,532243
-549121.948059,535215
-549121.904663,538059
-549121.860797,540933
-549121.817910,543744
-549121.771617,546778
-549121.730356,549482
-549121.688802,552205
-549121.644614,555101
-549121.600393,557999
-549121.555705,560928
-549121.511250,563841
-549121.467171,566730
-549121.423307,569604
-549121.378370,572549
-549121.332809,575535
-549121.289134,578397
-549121.247200,581146
-549121.210361,583560
-549121.175194,585864
-549121.138955,588239
-549121.103497,590563
-549121.064524,593117
-549121.023931,595777
-549120.979554,598686
-549120.932530,601767
-549120.886384,604792
-549120.840852,607776
-549120.787864,611248
-549120.741155,614309
-549120.697955,617140
-549120.651831,620163
-549120.606178,623155
-549120.562849,625994
-549120.519590,628829
-549120.476045,631683
-549120.427654,634854
-549120.380995,637912
-549120.340491,640567
-549120.302127,643081
-549120.262359,645687
-549120.224271,648183
-549120.183996,650823
-549120.142716,653528
-549120.098784,656407
-549120.053940,659346
-549120.010025,662224
-549119.965405,665148
-549119.921147,668048
-549119.878483,670844
-549119.835267,673677
-549119.791234,676562
-549119.744697,679612
-549119.695791,682817
-549119.645352,686123
-549119.599433,689132
-549119.551990,692241
-549119.505986,695256
-549119.459526,698301
-549119.414008,701284
-549119.372701,703991
-549119.330927,706728
-549119.293416,709187
-549119.247843,712173
-549119.202745,715129
-549119.156882,718135
-549119.110284,721188
-549119.066270,724073
-549119.023576,726871
-549118.961534,730937
-549118.917527,733821
-549118.873034,736736
-549118.830616,739516
-549118.785129,742497
-549118.739493,745488
-549118.693699,748489
-549118.647041,751547
-549118.600731,754582
-549118.555534,757544
-549118.512006,760396
-549118.461227,763724
-549118.411790,766964
-549118.363783,770110
-549118.316406,773215
-549118.270633,776215
-549118.226221,779125
-549118.179793,782168
-549118.134001,785169
-549118.087877,788192
-549118.043208,791119
-549117.997733,794099
-549117.954649,796923
-549117.912119,799710
-549117.869046,802533
-549117.823021,805549
-549117.779874,808377
-549117.742605,810819
-549117.707243,813137
-549117.673854,815325
-549117.638842,817619
-549117.599808,820177
-549117.559853,822796
-549117.517184,825592
-549117.472919,828493
-549117.423729,831717
-549117.380132,834574
-549117.333824,837609
-549117.289936,840485
-549117.245776,843379
-549117.202041,846245
-549117.159756,849016
-549117.121597,851517
-549117.081813,854124
-549117.040502,856831
-549116.999181,859539
-549116.954833,862446
-549116.913487,865155
-549116.873152,867799
-549116.831288,870542
-549116.790456,873218
-549116.753082,875668
-549116.716990,878033
-549116.678451,880558
-549116.637708,883229
-549116.594351,886070
-549116.550992,888912
-549116.507150,891785
-549116.462760,894694
-549116.420097,897490
-549116.376664,900336
-549116.333340,903175
-549116.290722,905968
-549116.243836,909041
-549116.202187,911770
-549116.165551,914171
-549116.132230,916355
-549116.096151,918720
-549116.059842,921099
-549116.021612,923604
-549115.979874,926340
-549115.938518,929050
-549115.891490,932132
-549115.849075,934912
-549115.807067,937665
-549115.766076,940351
-549115.726486,942946
-549115.681398,945900
-549115.636947,948813
-549115.593111,951686
-549115.549383,954552
-549115.506664,957352
-549115.463806,960160
-549115.420505,962998
-549115.377651,965806
-549115.334061,968663
-549115.291412,971458
-549115.248211,974289
-549115.204296,977167
-549115.161559,979968
-549115.119192,982745
-549115.074880,985649
-549115.030817,988536
-549114.986484,991442
-549114.941792,994370
-549114.896704,997325
-549114.851922,1000260
-549114.803709,1003420
-549114.752520,1006774
-549114.706501,1009790
-549114.661427,1012744
-549114.615788,1015735
-549114.569762,1018751
-549114.530165,1021346
-549114.497125,1023512
-549114.464376,1025658
-549114.433062,1027710
-549114.398338,1029986
-549114.363740,1032253
-549114.323658,1034880
-549114.284511,1037445
-549114.243973,1040102
-549114.203644,1042745
-549114.162216,1045460
-549114.121781,1048110
-549114.085089,1050514
-549114.045394,1053116
-549114.006125,1055689
-549113.966937,1058258
-549113.927864,1060818
-549113.890267,1063282
-549113.851789,1065804
-549113.812852,1068356
-549113.769544,1071194
-549113.728583,1073878
-549113.691562,1076304
-549113.646633,1079249
-549113.601793,1082187
-549113.558180,1085045
-549113.517556,1087708
-549113.477325,1090344
-549113.432143,1093305
-549113.388487,1096166
-549113.345663,1098973
-549113.304056,1101699
-549113.262483,1104424
-549113.221421,1107115
-549113.179561,1109858
-549113.138827,1112528
-549113.097395,1115243
-549113.055422,1117994
-549113.012067,1120835
-549112.969902,1123598
-549112.923503,1126639
-549112.881440,1129396
-549112.841809,1131993
-549112.802021,1134600
-549112.755591,1137643
-549112.712160,1140489
-549112.669704,1143272
-549112.628246,1145989
-549112.591949,1148367
-549112.557495,1150625
-549112.518977,1153150
-549112.477822,1155847
-549112.433538,1158749
-549112.389356,1161644
-549112.341597,1164774
-549112.297808,1167644
-549112.254392,1170489
-549112.212304,1173247
-549112.170755,1175970
-549112.125966,1178906
-549112.084017,1181655
-549112.043025,1184341
-549112.001496,1187063
-549111.960096,1189776
-549111.919708,1192423
-549111.880279,1195007
-549111.837493,1197811
-549111.796244,1200514
-549111.754653,1203240
-549111.713658,1205926
-549111.673427,1208563
-549111.633994,1211147
-549111.592449,1213870
-549111.550039,1216649
-549111.506691,1219490
-549111.465195,1222209
-549111.421355,1225082
-549111.373617,1228211
-549111.328601,1231161
-549111.283655,1234106
-549111.239789,1236981
-549111.193591,1240009
-549111.146384,1243103
-549111.100795,1246090
-549111.054962,1249094
-549111.006461,1252272
-549110.961512,1255218
-549110.917086,1258130
-549110.873894,1260960
-549110.830864,1263780
-549110.785344,1266763
-549110.738271,1269848
-549110.690917,1272952
-549110.637565,1276448
-549110.590726,1279518
-549110.543642,1282603
-549110.495615,1285751
-549110.447327,1288915
-549110.403915,1291760
-549110.358902,1294710
-549110.314945,1297591
-549110.270432,1300508
-549110.225467,1303455
-549110.181666,1306325
-549110.137478,1309221
-549110.095868,1311948
-549110.049076,1315015
-549110.003414,1318007
-549109.944477,1321869
-549109.898990,1324850
-549109.857040,1327600
-549109.815714,1330308
-549109.769681,1333325
-549109.727171,1336111
-549109.682361,1339047
-549109.636951,1342023
-549109.598401,1344550
-549109.559901,1347073
-549109.519689,1349708
-549109.479249,1352358
-549109.435881,1355200
-549109.391535,1358107
-549109.347491,1360993
-549109.300094,1364099
-549109.257048,1366920
-549109.213676,1369763
-549109.171169,1372548
-549109.130705,1375200
-549109.087162,1378054
-549109.044358,1380859
-549109.000097,1383759
-549108.955896,1386656
-549108.913232,1389452
-549108.869607,1392311
-549108.827927,1395043
-549108.784881,1397864
-549108.739516,1400837
-549108.698736,1403509
-549108.655185,1406363
-549108.613278,1409110
-549108.567024,1412141
-549108.525306,1414875
-549108.484676,1417538
-549108.440132,1420457
-549108.397737,1423235
-549108.355272,1426018
-549108.309760,1429001
-549108.262292,1432111
-549108.213440,1435313
-549108.167124,1438348
-549108.121963,1441308
-549108.075793,1444334
-549108.030667,1447291
-549107.983484,1450383
-549107.936844,1453440
-549107.891296,1456425
-549107.846509,1459360
-549107.806661,1461971
-549107.762816,1464845
-549107.720377,1467626
-549107.678697,1470357
-549107.634792,1473235
-549107.590334,1476148
-549107.546948,1478992
-549107.499669,1482090
-549107.455231,1485002
-549107.410195,1487954
-549107.362490,1491080
-549107.315139,1494183
-549107.265766,1497419
-549107.214933,1500750
-549107.165346,1504000
-549107.120574,1506934
-549107.075258,1509904
-549107.031741,1512756
-549106.987701,1515642
-549106.944728,1518458
-549106.901415,1521297
-549106.857990,1524142
-549106.815278,1526942
-549106.772371,1529753
-549106.728733,1532613
-549106.684395,1535519
-549106.639918,1538434
-549106.598178,1541169
-549106.554948,1544002
-549106.511388,1546857
-549106.467396,1549740
-549106.423780,1552598
-549106.381920,1555342
-549106.337591,1558247
-549106.290101,1561359
-549106.238442,1564744
-549106.186962,1568118
-549106.132575,1571682
-549106.079380,1575169
-549106.026398,1578641
-549105.978700,1581767
-549105.929876,1584966
-549105.881390,1588144
-549105.832128,1591372
-549105.780283,1594770
-549105.731723,1597952
-549105.681940,1601215
-549105.630261,1604602
-549105.581424,1607802
-549105.533680,1610931
-549105.483412,1614225
-549105.435810,1617345
-549105.388266,1620461
-549105.339974,1623626
-549105.289756,1626917
-549105.242232,1630031
-549105.190904,1633395
-549105.139718,1636749
-549105.087298,1640185
-549105.032407,1643782
-549104.982861,1647029
-549104.932436,1650334
-549104.880246,1653754
-549104.828075,1657173
-549104.774982,1660652
-549104.722364,1664101
-549104.668140,1667654
-549104.620947,1670747
-549104.573607,1673849
-549104.526384,1676944
-549104.480174,1679973
-549104.427584,1683419
-549104.376907,1686740
-549104.335960,1689424
-549104.296957,1691980
-549104.259033,1694465
-549104.215761,1697301
-549104.168202,1700418
-549104.119895,1703583
-549104.072529,1706688
-549104.023631,1709892
-549103.972014,1713275
-549103.920328,1716662
-549103.870557,1719924
-549103.819801,1723250
-549103.766132,1726767
-549103.713732,1730201
-549103.664141,1733451
-549103.615598,1736633
-549103.568605,1739712
-549103.522553,1742730
-549103.477617,1745675
-549103.431543,1748695
-549103.384981,1751746
-549103.337542,1754855
-549103.288356,1758078
-549103.245026,1760918
-549103.198308,1763980
-549103.150769,1767095
-549103.104537,1770125
-549103.057457,1773210
-549103.009893,1776327
-549102.963124,1779392
-549102.917058,1782411
-549102.871411,1785403
-549102.825847,1788389
-549102.781828,1791274
-549102.735920,1794282
-549102.690732,1797244
-549102.646742,1800127
-549102.602985,1802994
-549102.560443,1805782
-549102.516223,1808680
-549102.470106,1811702
-549102.419803,1814999
-549102.375427,1817907
-549102.327499,1821048
-549102.282420,1824002
-549102.230905,1827378
-549102.181616,1830609
-549102.133457,1833765
-549102.084977,1836942
-549102.038839,1839965
-549101.994658,1842861
-549101.950819,1845734
-549101.906520,1848637
-549101.863591,1851450
-549101.818671,1854394
-549101.772140,1857444
-549101.722974,1860666
-549101.674662,1863832
-549101.623359,1867194
-549101.573005,1870494
-549101.523402,1873745
-549101.474712,1876936
-549101.425991,1880128
-549101.376960,1883342
-549101.327134,1886607
-549101.276135,1889949
-549101.228209,1893090
-549101.179938,1896254
-549101.132396,1899369
-549101.084614,1902501
-549101.034609,1905778
-549100.988674,1908788
-549100.943071,1911777
-549100.896275,1914843
-549100.849914,1917882
-549100.804330,1920869
-549100.754834,1924113
-549100.708797,1927130
-549100.659494,1930361
-549100.614521,1933308
-549100.568069,1936352
-549100.524051,1939237
-549100.480117,1942116
-549100.437282,1944924
-549100.392587,1947853
-549100.347877,1950783
-549100.303207,1953710
-549100.256919,1956744
-549100.210291,1959799
-549100.158149,1963216
-549100.113142,1966166
-549100.067768,1969140
-549100.022938,1972078
-549099.980304,1974872
-549099.936325,1977754
-549099.893464,1980563
-549099.847099,1983601
-549099.802175,1986545
-549099.755546,1989601
-549099.711002,1992520
-549099.665735,1995487
-549099.621290,1998400
-549099.574587,2001460
-549099.529399,2004422
-549099.484619,2007356
-549099.438952,2010349
-549099.391556,2013455
-549099.343710,2016591
-549099.293757,2019864
-549099.246463,2022964
-549099.198815,2026086
-549099.154037,2029021
-549099.107846,2032048
-549099.062110,2035045
-549099.014174,2038187
-549098.966075,2041339
-549098.920463,2044328
-549098.875571,2047270
-549098.829495,2050290
-549098.784835,2053217
-549098.740059,2056151
-549098.696539,2059003
-549098.652954,2061859
-549098.608710,2064759
-549098.564489,2067657
-549098.520323,2070551
-549098.477574,2073353
-549098.434897,2076150
-549098.394337,2078808
-549098.351803,2081595
-549098.312433,2084175
-549098.273408,2086733
-549098.233051,2089378
-549098.191253,2092117
-549098.145368,2095124
-549098.103132,2097892
-549098.058814,2100796
-549098.015690,2103623
-549097.972884,2106428
-549097.931005,2109172
-549097.888185,2111979
-549097.845135,2114800
-549097.799968,2117760
-549097.757316,2120555
-549097.713866,2123403
-549097.669963,2126280
-549097.625159,2129216
-549097.581947,2132048
-549097.539603,2134823
-549097.495832,2137691
-549097.453721,2140451
-549097.409346,2143359
-549097.365002,2146265
-549097.323361,2148994
-549097.280048,2151833
-549097.235689,2154740
-549097.194213,2157458
-549097.152358,2160201
-549097.110141,2162968
-549097.067400,2165769
-549097.026008,2168481
-549096.984418,2171207
-549096.944819,2173802
-549096.904491,2176445
-549096.865541,2178998
-549096.817715,2182132
-549096.773214,2185048
-549096.729874,2187888
-549096.685531,2190795
-549096.643846,2193526
-549096.603858,2196147
-549096.564156,2198749
-549096.524639,2201339
-549096.481226,2204184
-549096.436664,2207104
-549096.393860,2209909
-549096.351695,2212672
-549096.310602,2215365
-549096.269035,2218090
-549096.224981,2220977
-549096.181950,2223797
-549096.139001,2226611
-549096.092404,2229665
-549096.047667,2232597
-549095.999615,2235746
-549095.956675,2238560
-549095.913861,2241366
-549095.872464,2244079
-549095.829902,2246868
-549095.786093,2249739
-549095.742885,2252571
-549095.701750,2255267
-549095.659757,2258019
-549095.617018,2260820
-549095.575569,2263536
-549095.534476,2266229
-549095.493534,2268912
-549095.451794,2271647
-549095.410501,2274354
-549095.367951,2277142
-549095.325132,2279948
-549095.280895,2282847
-549095.233045,2285983
-549095.188077,2288930
-549095.139430,2292118
-549095.095070,2295025
-549095.052048,2297845
-549095.008049,2300728
-549094.964800,2303563
-549094.921474,2306402
-549094.874812,2309460
-549094.828965,2312465
-549094.779025,2315737
-549094.731863,2318828
-549094.679705,2322246
-549094.628856,2325579
-549094.581216,2328701
-549094.531971,2331928
-549094.483669,2335094
-549094.433742,2338366
-549094.381455,2341792
-549094.332216,2345019
-549094.280348,2348418
-549094.232269,2351569
-549094.183152,2354788
-549094.136445,2357849
-549094.092039,2360759
-549094.044777,2363856
-549093.994630,2367143
-549093.946843,2370274
-549093.899298,2373390
-549093.853332,2376403
-549093.807247,2379423
-549093.760683,2382474
-549093.715726,2385421
-549093.669029,2388481
-549093.623401,2391471
-549093.577614,2394472
-549093.532803,2397409
-549093.487780,2400359
-549093.441510,2403391
-549093.397840,2406253
-549093.352655,2409215
-549093.311624,2411904
-549093.272041,2414498
-549093.232286,2417103
-549093.189890,2419881
-549093.149510,2422528
-549093.108515,2425214
-549093.069809,2427751
-549093.029400,2430399
-549092.989555,2433010
-549092.946885,2435807
-549092.903472,2438652
-549092.860159,2441490
-549092.817865,2444262
-549092.770123,2447391
-549092.723082,2450474
