world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,-548763.679306,"[[ 2.99926339e-03 -5.03677065e-04 -2.24164524e+00]
 [-5.53081345e-05 -1.61596242e-03  1.36712839e+00]
 [ 1.16888639e-04  7.20365280e-04  3.08989989e-01]]","[[ 3.04468455e+02  2.99344744e+02  8.84389700e+02]
 [-3.62887401e+01 -2.43871570e+02  8.15745731e+02]
 [-3.05762489e-02  4.55311230e-01  1.00000000e+00]]",11,"[[ 3.86848914e-03 -5.42479641e-04 -2.91570308e+00]
 [-5.49502106e-04 -2.17020094e-03  2.12254494e+00]
 [-3.10572705e-04  5.23539895e-04  8.69189932e-01]]","[[ 3.44804320e+02  1.21351579e+02  8.60310053e+02]
 [ 2.08872128e+01 -2.82615304e+02  7.60207374e+02]
 [ 1.10621992e-01  2.13588386e-01  1.00000000e+00]]",14
1,-548763.606189,"[[ 3.00074249e-03 -5.01878181e-04 -2.24303797e+00]
 [-5.32636551e-05 -1.61551493e-03  1.36647876e+00]
 [ 1.14893526e-04  7.21177934e-04  3.09438880e-01]]","[[ 3.04725556e+02  2.99997132e+02  8.84088272e+02]
 [-3.55897542e+01 -2.43360906e+02  8.16698729e+02]
 [-3.01980414e-02  4.55788837e-01  1.00000000e+00]]",11,"[[ 3.87115071e-03 -5.39607700e-04 -2.91843251e+00]
 [-5.47700520e-04 -2.17213094e-03  2.12382937e+00]
 [-3.12712654e-04  5.23343840e-04  8.70694802e-01]]","[[ 3.44978252e+02  1.21494372e+02  8.59959688e+02]
 [ 2.15147337e+01 -2.82388152e+02  7.60925120e+02]
 [ 1.10968231e-01  2.13368596e-01  1.00000000e+00]]",14
2,-548763.557393,"[[ 3.00045789e-03 -5.00146461e-04 -2.24447883e+00]
 [-5.15829939e-05 -1.61543798e-03  1.36560067e+00]
 [ 1.14811593e-04  7.21939867e-04  3.08574574e-01]]","[[ 3.04619234e+02  3.00859961e+02  8.84249323e+02]
 [-3.54420705e+01 -2.42887952e+02  8.17108709e+02]
 [-3.04197966e-02  4.56318491e-01  1.00000000e+00]]",11,"[[ 3.87332827e-03 -5.37177700e-04 -2.92236642e+00]
 [-5.46298101e-04 -2.17388329e-03  2.12453093e+00]
 [-3.12585237e-04  5.23575936e-04  8.70309570e-01]]","[[ 3.44782507e+02  1.21943521e+02  8.60048037e+02]
 [ 2.16498401e+01 -2.82030349e+02  7.61167047e+02]
 [ 1.10809521e-01  2.13466627e-01  1.00000000e+00]]",14
3,-548763.511462,"[[ 3.00213645e-03 -4.99601580e-04 -2.24837616e+00]
 [-5.10809696e-05 -1.61976564e-03  1.36717718e+00]
 [ 1.15599752e-04  7.22362388e-04  3.08162230e-01]]","[[ 3.04145566e+02  3.00757066e+02  8.84746464e+02]
 [-3.55516977e+01 -2.42428291e+02  8.16157248e+02]
 [-3.07563415e-02  4.55453730e-01  1.00000000e+00]]",11,"[[ 3.87639321e-03 -5.36152770e-04 -2.92805210e+00]
 [-5.46531981e-04 -2.17793936e-03  2.12650251e+00]
 [-3.12694391e-04  5.24166238e-04  8.70486531e-01]]","[[ 3.44626203e+02  1.22266984e+02  8.60533049e+02]
 [ 2.16581850e+01 -2.81465490e+02  7.60440673e+02]
 [ 1.10754375e-01  2.13405837e-01  1.00000000e+00]]",14
4,-548763.4623149999,"[[ 3.00352345e-03 -4.98785650e-04 -2.24888809e+00]
 [-5.11647166e-05 -1.62065397e-03  1.36671063e+00]
 [ 1.15231269e-04  7.22932925e-04  3.08641369e-01]]","[[ 3.04145196e+02  3.00795314e+02  8.84160008e+02]
 [-3.54123307e+01 -2.42408986e+02  8.15394805e+02]
 [-3.06060631e-02  4.55494388e-01  1.00000000e+00]]",11,"[[ 3.87554623e-03 -5.35661125e-04 -2.92638186e+00]
 [-5.45049554e-04 -2.17740326e-03  2.12348152e+00]
 [-3.12396696e-04  5.24925881e-04  8.69793168e-01]]","[[ 3.44599997e+02  1.22582704e+02  8.60122957e+02]
 [ 2.16810386e+01 -2.81393575e+02  7.59929003e+02]
 [ 1.10682592e-01  2.13849923e-01  1.00000000e+00]]",14
5,-548763.4173199999,"[[ 3.00514241e-03 -4.98283398e-04 -2.24998990e+00]
 [-5.05166634e-05 -1.61968172e-03  1.36570486e+00]
 [ 1.14963099e-04  7.22468817e-04  3.09115560e-01]]","[[ 3.04002874e+02  3.00767828e+02  8.83951978e+02]
 [-3.52824797e+01 -2.42737039e+02  8.15623551e+02]
 [-3.05989807e-02  4.55469597e-01  1.00000000e+00]]",11,"[[ 3.87719983e-03 -5.35090967e-04 -2.92743178e+00]
 [-5.43894131e-04 -2.17635846e-03  2.12200545e+00]
 [-3.12521849e-04  5.24338612e-04  8.70191378e-01]]","[[ 3.44418102e+02  1.22500666e+02  8.59941200e+02]
 [ 2.17523803e+01 -2.81700133e+02  7.60117653e+02]
 [ 1.10587822e-01  2.13735043e-01  1.00000000e+00]]",14
6,-548763.373848,"[[ 3.00483860e-03 -4.93051515e-04 -2.25329358e+00]
 [-4.68567049e-05 -1.62051456e-03  1.36388100e+00]
 [ 1.13539336e-04  7.24104662e-04  3.08727226e-01]]","[[ 3.04117194e+02  3.02382371e+02  8.83795550e+02]
 [-3.46081795e+01 -2.41904134e+02  8.16079837e+02]
 [-3.06721253e-02  4.56168441e-01  1.00000000e+00]]",11,"[[ 3.87920745e-03 -5.27822708e-04 -2.93380024e+00]
 [-5.40289113e-04 -2.17923573e-03  2.12175546e+00]
 [-3.14238567e-04  5.25070593e-04  8.70871479e-01]]","[[ 3.44655624e+02  1.23675568e+02  8.59761123e+02]
 [ 2.24530968e+01 -2.81085989e+02  7.60466554e+02]
 [ 1.10825341e-01  2.14100042e-01  1.00000000e+00]]",14
7,-548763.3294759999,"[[ 3.00602701e-03 -4.91356724e-04 -2.25476019e+00]
 [-4.68818993e-05 -1.62117270e-03  1.36434864e+00]
 [ 1.13048820e-04  7.24004411e-04  3.09313854e-01]]","[[ 3.04155812e+02  3.02364116e+02  8.83466241e+02]
 [-3.44624254e+01 -2.41957766e+02  8.16032778e+02]
 [-3.04981733e-02  4.55836624e-01  1.00000000e+00]]",11,"[[ 3.87959385e-03 -5.25582378e-04 -2.93479428e+00]
 [-5.39980021e-04 -2.17948035e-03  2.12157190e+00]
 [-3.14624258e-04  5.25028372e-04  8.71141880e-01]]","[[ 3.44709665e+02  1.23922182e+02  8.59495049e+02]
 [ 2.25531468e+01 -2.81065817e+02  7.60484830e+02]
 [ 1.10903841e-01  2.14151629e-01  1.00000000e+00]]",14
8,-548763.284931,"[[ 3.00639246e-03 -4.94538714e-04 -2.25301489e+00]
 [-4.77489533e-05 -1.62229929e-03  1.36564245e+00]
 [ 1.12643905e-04  7.24166811e-04  3.09701464e-01]]","[[ 3.04308773e+02  3.01659830e+02  8.83601662e+02]
 [-3.44058923e+01 -2.41767202e+02  8.15787447e+02]
 [-3.02320927e-02  4.55598886e-01  1.00000000e+00]]",11,"[[ 3.87897703e-03 -5.29377550e-04 -2.93188338e+00]
 [-5.41177575e-04 -2.18039408e-03  2.12296987e+00]
 [-3.15269204e-04  5.25287912e-04  8.71624781e-01]]","[[ 3.44875554e+02  1.23357890e+02  8.59601332e+02]
 [ 2.25982431e+01 -2.80950110e+02  7.60308847e+02]
 [ 1.11123570e-01  2.13934533e-01  1.00000000e+00]]",14
9,-548763.236081,"[[ 3.00604097e-03 -4.96321522e-04 -2.25200375e+00]
 [-4.94608011e-05 -1.62303092e-03  1.36636391e+00]
 [ 1.14344056e-04  7.25222544e-04  3.07948097e-01]]","[[ 3.04016241e+02  3.01902508e+02  8.83710683e+02]
 [-3.49686636e+01 -2.41301294e+02  8.14928940e+02]
 [-3.05323753e-02  4.56169016e-01  1.00000000e+00]]",11,"[[ 3.87687236e-03 -5.31971230e-04 -2.92909171e+00]
 [-5.42736164e-04 -2.17937418e-03  2.12224551e+00]
 [-3.13261248e-04  5.27280939e-04  8.68770050e-01]]","[[ 3.44751376e+02  1.23862322e+02  8.59769671e+02]
 [ 2.21225801e+01 -2.80450284e+02  7.59675612e+02]
 [ 1.10883693e-01  2.14875449e-01  1.00000000e+00]]",14
