world_index,world_timestamp,surface_name,event_type
0,354660.563931,Screen,enter
0,354660.563931,Right_Stock,enter
0,354660.563931,Assemly_Zone,enter
0,354660.563931,Left_Stock,enter
102,354663.958711,Screen,exit
103,354663.994002,Right_Stock,exit
103,354663.994002,Assemly_Zone,exit
103,354663.994002,Left_Stock,exit
108,354664.161853,Right_Stock,enter
108,354664.161853,Assemly_Zone,enter
109,354664.193997,Screen,enter
109,354664.193997,Left_Stock,enter
115,354664.394082,Left_Stock,exit
116,354664.42986699997,Screen,exit
116,354664.42986699997,Right_Stock,exit
116,354664.42986699997,Assemly_Zone,exit
119,354664.529743,Right_Stock,enter
119,354664.529743,Assemly_Zone,enter
119,354664.529743,Left_Stock,enter
120,354664.561848,Screen,enter
126,354664.765889,Screen,exit
126,354664.765889,Left_Stock,exit
127,354664.797936,Right_Stock,exit
127,354664.797936,Assemly_Zone,exit
132,354664.965896,Right_Stock,enter
132,354664.965896,Assemly_Zone,enter
133,354664.997944,Screen,enter
186,354666.774057,Screen,exit
187,354666.809941,Right_Stock,exit
187,354666.809941,Assemly_Zone,exit
193,354667.009967,Right_Stock,enter
193,354667.009967,Assemly_Zone,enter
193,354667.009967,Left_Stock,enter
194,354667.041929,Screen,enter
207,354667.477818,Screen,exit
208,354667.513791,Right_Stock,exit
208,354667.513791,Assemly_Zone,exit
208,354667.513791,Left_Stock,exit
214,354667.71388,Screen,enter
214,354667.71388,Right_Stock,enter
214,354667.71388,Assemly_Zone,enter
225,354668.082074,Screen,exit
225,354668.082074,Left_Stock,enter
225,354668.082074,Left_Stock,exit
226,354668.113945,Right_Stock,exit
226,354668.113945,Assemly_Zone,exit
234,354668.381874,Left_Stock,enter
235,354668.417936,Right_Stock,enter
235,354668.417936,Assemly_Zone,enter
236,354668.449945,Screen,enter
277,354669.825869,Screen,exit
279,354669.8899,Right_Stock,exit
279,354669.8899,Assemly_Zone,exit
279,354669.8899,Left_Stock,exit
283,354670.025896,Right_Stock,enter
283,354670.025896,Assemly_Zone,enter
283,354670.025896,Left_Stock,enter
285,354670.094478,Screen,enter
294,354670.393899,Screen,exit
295,354670.426415,Right_Stock,exit
295,354670.426415,Assemly_Zone,exit
295,354670.426415,Left_Stock,exit
301,354670.629886,Screen,enter
301,354670.629886,Right_Stock,enter
301,354670.629886,Assemly_Zone,enter
334,354671.733945,Screen,exit
334,354671.733945,Right_Stock,exit
