# timestamps [seconds],pts
62520.677189,0
62520.756317,5185
62520.789670,7371
62520.820045,9362
62520.849522,11293
62520.873389,12857
62520.905413,14956
62520.941465,17319
62520.973511,19419
62521.005278,21501
62521.041441,23871
62521.073424,25967
62521.109282,28317
62521.141497,30428
62521.173382,32518
62521.209569,34889
62521.241397,36975
62521.273419,39073
62521.309455,41435
62521.341404,43529
62521.377283,45880
62521.409455,47989
62521.441473,50087
62521.477377,52440
62521.509274,54530
62521.541413,56636
62521.577392,58994
62521.609442,61095
62521.645363,63449
62521.677406,65549
62521.709265,67637
62521.745346,70001
62521.777423,72103
62521.809452,74202
62521.845325,76553
62521.877384,78654
62521.913453,81018
62521.945274,83103
62521.977305,85203
62522.013300,87562
62522.045278,89657
62522.078518,91836
62522.113422,94123
62522.145423,96220
62522.181434,98580
62522.213416,100676
62522.245283,102765
62522.281419,105133
62522.313374,107227
62522.349427,109590
62522.383116,111797
62522.413306,113776
62522.449419,116143
62522.484841,118464
62522.519973,120766
62522.552058,122869
62522.581484,124797
62522.617481,127157
62522.650972,129351
62522.681406,131346
62522.717591,133717
62522.749426,135804
62522.781569,137910
62522.817487,140264
62522.849459,142359
62522.885420,144716
62522.917268,146803
62522.949447,148912
62522.985281,151260
62523.017413,153366
62523.049401,155462
62523.085360,157819
62523.117415,159920
62523.153226,162267
62523.185271,164367
62523.217453,166476
62523.253288,168824
62523.285351,170925
62523.317377,173024
62523.353283,175377
62523.385278,177474
62523.421345,179838
62523.453301,181932
62523.485322,184030
62523.521348,186391
62523.553374,188490
62523.585347,190586
62523.621394,192948
62523.653327,195041
62523.689475,197410
62523.721342,199498
62523.753378,201598
62523.789401,203958
62523.821251,206046
62523.857490,208421
62523.889388,210511
62523.921352,212606
62523.957365,214966
62523.989425,217067
62524.021407,219163
62524.057521,221530
62524.089406,223619
62524.125536,225987
62524.157336,228071
62524.189413,230173
62524.225467,232536
62524.257444,234632
62524.289442,236729
62524.325527,239093
62524.357385,241181
62524.393257,243532
62524.425504,245645
62524.457500,247742
62524.493247,250085
62524.525426,252194
62524.557405,254289
62524.593319,256643
62524.625395,258745
62524.661293,261098
62524.693407,263202
62524.725500,265306
62524.761306,267652
62524.793289,269748
62524.825460,271856
62524.861316,274206
62524.893318,276304
62524.929235,278657
62524.961479,280770
62524.993347,282859
62525.029249,285212
62525.061508,287326
62525.093309,289410
62525.129308,291769
62525.161385,293871
62525.197584,296244
62525.229332,298324
62525.261278,300418
62525.297402,302785
62525.329291,304875
62525.365460,307245
62525.397469,309343
62525.429277,311428
62525.465444,313798
62525.497305,315886
62525.529264,317980
62525.565370,320346
62525.597368,322443
62525.633473,324810
62525.665439,326904
62525.697402,328999
62525.733459,331362
62525.765363,333453
62525.797411,335553
62525.833482,337917
62525.865410,340010
62525.901368,342366
62525.933404,344466
62525.965392,346562
62526.001384,348921
62526.033442,351022
62526.065509,353123
62526.101340,355471
62526.133418,357573
62526.169343,359928
62526.201419,362030
62526.233508,364133
62526.269300,366478
62526.301259,368573
62526.333496,370686
62526.369289,373031
62526.401475,375141
62526.437221,377483
62526.469266,379583
62526.501272,381681
62526.537221,384037
62526.569418,386147
62526.601475,388248
62526.637284,390594
62526.669324,392694
62526.705331,395054
62526.737332,397151
62526.769331,399248
62526.805289,401605
62526.837235,403698
62526.869266,405797
62526.905461,408169
62526.937415,410263
62526.973306,412616
62527.005421,414720
62527.037264,416807
62527.073425,419177
62527.105513,421280
62527.141462,423636
62527.173405,425729
62527.205341,427822
62527.241365,430183
62527.273352,432279
62527.305428,434381
62527.341409,436739
62527.373372,438834
62527.409485,441201
62527.441475,443297
62527.473433,445391
62527.509256,447739
62527.541374,449844
62527.573428,451945
62527.609468,454306
62527.641427,456401
62527.677444,458761
62527.709289,460848
62527.741529,462961
62527.777299,465305
62527.809455,467413
62527.841487,469512
62527.877272,471857
62527.909257,473953
62527.945276,476314
62527.977242,478408
62528.009521,480524
62528.045285,482868
62528.077394,484972
62528.109338,487065
62528.145398,489429
62528.177482,491531
62528.213329,493880
62528.245333,495978
62528.277342,498076
62528.313393,500438
62528.345249,502526
62528.377270,504624
62528.413355,506989
62528.445278,509081
62528.481399,511448
62528.513324,513541
62528.545352,515640
62528.581410,518003
62528.613226,520088
