world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,62260.662748,"[[ 2.23757808e-03 -3.72775653e-04 -1.22076953e+00]
 [ 1.18334125e-03 -3.10546938e-03 -2.97720851e-01]
 [ 1.02321693e-03 -1.23276750e-03  5.68825256e-01]]","[[ 3.27845430e+02 -2.63840236e+02  5.65504023e+02]
 [ 1.50246787e+02 -3.87531398e+02  1.19615859e+02]
 [-2.64119139e-01 -3.65262116e-01  1.00000000e+00]]",4,"[[ 2.72406854e-03 -1.38059465e-03 -1.38371698e+00]
 [ 1.85081744e-03 -4.32785485e-03 -4.88189802e-01]
 [ 1.07146820e-03 -1.88151751e-03  6.34190994e-01]]","[[ 3.96704230e+02 -3.76759144e+02  5.75530735e+02]
 [ 1.83758396e+02 -3.47643297e+02  1.33325294e+02]
 [-1.25059059e-01 -3.94851884e-01  1.00000000e+00]]",8
1,62260.740338,"[[ 2.24064911e-03 -3.76916196e-04 -1.22217627e+00]
 [ 1.18690610e-03 -3.11112527e-03 -2.95714041e-01]
 [ 1.02590941e-03 -1.23675873e-03  5.68959456e-01]]","[[ 3.27401885e+02 -2.64576854e+02  5.65776207e+02]
 [ 1.50021595e+02 -3.87621860e+02  1.20795261e+02]
 [-2.64244065e-01 -3.65514327e-01  1.00000000e+00]]",4,"[[ 2.72693116e-03 -1.38466066e-03 -1.38404973e+00]
 [ 1.85278452e-03 -4.32865491e-03 -4.85187893e-01]
 [ 1.07383312e-03 -1.88586506e-03  6.35099732e-01]]","[[ 3.96616323e+02 -3.77717316e+02  5.75772317e+02]
 [ 1.83765763e+02 -3.48338311e+02  1.34359091e+02]
 [-1.24928901e-01 -3.95707434e-01  1.00000000e+00]]",8
2,62260.771988,"[[ 2.23857499e-03 -3.73444801e-04 -1.22156271e+00]
 [ 1.18564662e-03 -3.10896109e-03 -2.95447907e-01]
 [ 1.02397590e-03 -1.23491647e-03  5.69726129e-01]]","[[ 3.27781618e+02 -2.64128246e+02  5.65832682e+02]
 [ 1.50075965e+02 -3.87644044e+02  1.20757285e+02]
 [-2.63827108e-01 -3.65521335e-01  1.00000000e+00]]",4,"[[ 2.72532231e-03 -1.38359966e-03 -1.38340943e+00]
 [ 1.85185037e-03 -4.32786868e-03 -4.84966602e-01]
 [ 1.07252385e-03 -1.88651906e-03  6.35840044e-01]]","[[ 3.97149665e+02 -3.77961755e+02  5.75807966e+02]
 [ 1.83871894e+02 -3.48396179e+02  1.34325608e+02]
 [-1.24362496e-01 -3.96142138e-01  1.00000000e+00]]",8
3,62260.803782,"[[ 2.24108447e-03 -3.78789135e-04 -1.22140813e+00]
 [ 1.18549430e-03 -3.11129927e-03 -2.93865892e-01]
 [ 1.02546348e-03 -1.23862926e-03  5.70022133e-01]]","[[ 3.27654948e+02 -2.65004220e+02  5.65460000e+02]
 [ 1.49779557e+02 -3.87817266e+02  1.21005304e+02]
 [-2.63984205e-01 -3.65967660e-01  1.00000000e+00]]",4,"[[ 2.72298420e-03 -1.38009901e-03 -1.38129081e+00]
 [ 1.84789210e-03 -4.32359710e-03 -4.81700728e-01]
 [ 1.06981488e-03 -1.88183228e-03  6.37542184e-01]]","[[ 3.97162526e+02 -3.77241646e+02  5.75458975e+02]
 [ 1.83614247e+02 -3.48455826e+02  1.34537366e+02]
 [-1.24476726e-01 -3.95513744e-01  1.00000000e+00]]",8
4,62260.834193,"[[ 2.23981365e-03 -3.72330994e-04 -1.22088061e+00]
 [ 1.18406228e-03 -3.11034705e-03 -2.91987008e-01]
 [ 1.02327621e-03 -1.23180033e-03  5.71020185e-01]]","[[ 3.27279723e+02 -2.63033933e+02  5.65246177e+02]
 [ 1.49394186e+02 -3.87431763e+02  1.21304685e+02]
 [-2.64217887e-01 -3.64404296e-01  1.00000000e+00]]",4,"[[ 2.71830246e-03 -1.36980918e-03 -1.37897733e+00]
 [ 1.84390734e-03 -4.31911741e-03 -4.78474251e-01]
 [ 1.06488319e-03 -1.87152141e-03  6.39722950e-01]]","[[ 3.97022944e+02 -3.75163771e+02  5.75216876e+02]
 [ 1.83302609e+02 -3.48069105e+02  1.34789660e+02]
 [-1.24629425e-01 -3.93784822e-01  1.00000000e+00]]",8
5,62260.866097,"[[ 2.24345237e-03 -3.82968212e-04 -1.22108098e+00]
 [ 1.18553844e-03 -3.11682145e-03 -2.91474416e-01]
 [ 1.02659578e-03 -1.24145557e-03  5.70670089e-01]]","[[ 3.27377305e+02 -2.65273123e+02  5.65009236e+02]
 [ 1.49237612e+02 -3.87529239e+02  1.21394746e+02]
 [-2.64272295e-01 -3.65836701e-01  1.00000000e+00]]",4,"[[ 2.72587210e-03 -1.38707767e-03 -1.38034771e+00]
 [ 1.84721399e-03 -4.33053842e-03 -4.78077410e-01]
 [ 1.07211241e-03 -1.88724579e-03  6.38066713e-01]]","[[ 3.96593493e+02 -3.77624278e+02  5.75023389e+02]
 [ 1.82985292e+02 -3.48310323e+02  1.34882497e+02]
 [-1.25150840e-01 -3.95713347e-01  1.00000000e+00]]",8
6,62260.902006000004,"[[ 2.24012257e-03 -3.78606032e-04 -1.21952506e+00]
 [ 1.18278765e-03 -3.11462261e-03 -2.90021374e-01]
 [ 1.02350031e-03 -1.23756695e-03  5.72061431e-01]]","[[ 3.27855643e+02 -2.64319754e+02  5.64921485e+02]
 [ 1.49091067e+02 -3.87432339e+02  1.21414640e+02]
 [-2.64045375e-01 -3.65244178e-01  1.00000000e+00]]",4,"[[ 2.72292041e-03 -1.38591411e-03 -1.37850570e+00]
 [ 1.84456863e-03 -4.33061595e-03 -4.76268480e-01]
 [ 1.06954605e-03 -1.88626000e-03  6.39556827e-01]]","[[ 3.97167198e+02 -3.77520182e+02  5.74923551e+02]
 [ 1.82891658e+02 -3.48203625e+02  1.34904012e+02]
 [-1.24785454e-01 -3.95629190e-01  1.00000000e+00]]",8
7,62260.934173,"[[ 2.23804318e-03 -3.75759487e-04 -1.21828660e+00]
 [ 1.18049388e-03 -3.11073267e-03 -2.89203057e-01]
 [ 1.02109976e-03 -1.23468877e-03  5.73174154e-01]]","[[ 3.28313150e+02 -2.63805186e+02  5.64725823e+02]
 [ 1.49106818e+02 -3.87639821e+02  1.21338719e+02]
 [-2.63689427e-01 -3.65060287e-01  1.00000000e+00]]",4,"[[ 2.71619864e-03 -1.37377027e-03 -1.37588376e+00]
 [ 1.83940611e-03 -4.32198524e-03 -4.74421870e-01]
 [ 1.06295558e-03 -1.87433818e-03  6.41803681e-01]]","[[ 3.97624244e+02 -3.75639777e+02  5.74744309e+02]
 [ 1.82885896e+02 -3.47982345e+02  1.34837648e+02]
 [-1.24441311e-01 -3.94120831e-01  1.00000000e+00]]",8
8,62260.967527,"[[ 2.24002173e-03 -3.77532908e-04 -1.21838098e+00]
 [ 1.18109186e-03 -3.11316714e-03 -2.88984377e-01]
 [ 1.02255926e-03 -1.23708449e-03  5.72949113e-01]]","[[ 3.28017102e+02 -2.64037509e+02  5.64355671e+02]
 [ 1.48936837e+02 -3.87471899e+02  1.21282120e+02]
 [-2.63844502e-01 -3.65375340e-01  1.00000000e+00]]",4,"[[ 2.71861304e-03 -1.37668377e-03 -1.37598646e+00]
 [ 1.84001839e-03 -4.32586025e-03 -4.73813765e-01]
 [ 1.06549229e-03 -1.87804194e-03  6.41129190e-01]]","[[ 3.97007847e+02 -3.75713781e+02  5.74391352e+02]
 [ 1.82561490e+02 -3.47784742e+02  1.34788655e+02]
 [-1.25014843e-01 -3.94357639e-01  1.00000000e+00]]",8
9,62261.002174,"[[ 2.24289512e-03 -3.86848597e-04 -1.21753157e+00]
 [ 1.18205470e-03 -3.11841257e-03 -2.88951502e-01]
 [ 1.02483181e-03 -1.24529152e-03  5.72993665e-01]]","[[ 3.28386228e+02 -2.65847417e+02  5.63712321e+02]
 [ 1.48911905e+02 -3.87476102e+02  1.21019040e+02]
 [-2.63706093e-01 -3.66621531e-01  1.00000000e+00]]",4,"[[ 2.72613463e-03 -1.39463332e-03 -1.37657848e+00]
 [ 1.84316519e-03 -4.33849890e-03 -4.73736223e-01]
 [ 1.07293225e-03 -1.89441378e-03  6.39298874e-01]]","[[ 3.96579040e+02 -3.78035562e+02  5.73805226e+02]
 [ 1.82203533e+02 -3.47830012e+02  1.34581478e+02]
 [-1.25658845e-01 -3.96258200e-01  1.00000000e+00]]",8
