world_index,world_timestamp,surface_name,event_type
0,62260.662748,Screen,enter
0,62260.662748,Right_Stock,enter
0,62260.662748,Assemly_Zone,enter
64,62262.84203,Left_Stock,enter
65,62262.87796,Screen,exit
67,62262.945938,Screen,enter
88,62263.646949,Screen,exit
88,62263.646949,Right_Stock,exit
88,62263.646949,Left_Stock,exit
89,62263.682837,Assemly_Zone,exit
95,62263.882121,Right_Stock,enter
95,62263.882121,Assemly_Zone,enter
96,62263.914089,Screen,enter
147,62265.626113,Screen,exit
147,62265.626113,Assemly_Zone,exit
148,62265.658053,Right_Stock,exit
156,62265.926203,Assemly_Zone,enter
156,62265.926203,Left_Stock,enter
157,62265.961975,Right_Stock,enter
159,62266.026056,Screen,enter
164,62266.201908,Screen,exit
167,62266.293972,Screen,enter
173,62266.49806,Screen,exit
180,62266.730086,Screen,enter
180,62266.730086,Screen,exit
182,62266.802073,Screen,enter
184,62266.872798,Screen,exit
186,62266.944313,Screen,enter
187,62266.976264,Screen,exit
189,62267.043832,Screen,enter
191,62267.111297,Screen,exit
193,62267.176663,Screen,enter
193,62267.176663,Screen,exit
195,62267.240853,Screen,enter
198,62267.339505,Screen,exit
200,62267.414087,Screen,enter
200,62267.414087,Screen,exit
202,62267.482932,Screen,enter
202,62267.482932,Screen,exit
204,62267.550176,Screen,enter
204,62267.550176,Screen,exit
206,62267.620851,Screen,enter
206,62267.620851,Screen,exit
209,62267.728243,Screen,enter
209,62267.728243,Screen,exit
213,62267.880320000004,Screen,enter
215,62267.958174,Screen,exit
218,62268.065961,Screen,enter
219,62268.102191,Screen,exit
222,62268.206002,Screen,enter
222,62268.206002,Screen,exit
224,62268.274083000004,Screen,enter
225,62268.306651,Screen,exit
228,62268.41014,Screen,enter
228,62268.41014,Screen,exit
231,62268.515914,Screen,enter
231,62268.515914,Screen,exit
237,62268.706594,Screen,enter
246,62269.010107,Screen,exit
247,62269.042157,Right_Stock,exit
247,62269.042157,Assemly_Zone,exit
247,62269.042157,Left_Stock,exit
255,62269.309985,Right_Stock,enter
255,62269.309985,Assemly_Zone,enter
256,62269.346041,Screen,enter
282,62270.213992,Screen,exit
282,62270.213992,Right_Stock,exit
282,62270.213992,Assemly_Zone,exit
288,62270.418143,Right_Stock,enter
288,62270.418143,Assemly_Zone,enter
289,62270.450121,Left_Stock,enter
290,62270.482049,Screen,enter
300,62270.818126,Screen,exit
305,62270.989032,Screen,enter
310,62271.167088,Screen,exit
312,62271.235294,Screen,enter
314,62271.301796,Screen,exit
317,62271.402922,Right_Stock,exit
317,62271.402922,Assemly_Zone,exit
317,62271.402922,Left_Stock,exit
324,62271.622297,Right_Stock,enter
324,62271.622297,Assemly_Zone,enter
325,62271.658021,Screen,enter
361,62272.862031,Screen,exit
362,62272.898043,Right_Stock,exit
362,62272.898043,Assemly_Zone,exit
368,62273.098059,Right_Stock,enter
368,62273.098059,Assemly_Zone,enter
370,62273.166048,Left_Stock,enter
371,62273.198184,Screen,enter
384,62273.657172,Screen,exit
386,62273.72552,Screen,enter
387,62273.756909,Screen,exit
389,62273.821627,Screen,enter
389,62273.821627,Screen,exit
391,62273.882915,Screen,enter
394,62273.977067,Screen,exit
396,62274.037918,Screen,enter
399,62274.138077,Screen,exit
402,62274.237927,Screen,enter
408,62274.43794,Screen,exit
413,62274.606011,Screen,enter
413,62274.606011,Screen,exit
415,62274.674025,Screen,enter
415,62274.674025,Screen,exit
417,62274.737904,Screen,enter
419,62274.807332,Screen,exit
421,62274.874125,Screen,enter
422,62274.906688,Screen,exit
424,62274.974266,Screen,enter
425,62275.005946,Screen,exit
428,62275.109975,Screen,enter
429,62275.144557,Screen,exit
431,62275.210132,Screen,enter
432,62275.242083,Screen,exit
434,62275.310053,Screen,enter
437,62275.410131,Screen,exit
439,62275.477992,Screen,enter
439,62275.477992,Screen,exit
441,62275.545879,Screen,enter
443,62275.610377,Screen,exit
445,62275.677956,Screen,enter
445,62275.677956,Screen,exit
