world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,347412.757981,"[[ 1.64127082e-03  2.83382158e-04 -8.14831324e-01]
 [-1.03782617e-04 -1.39339367e-03  1.00413016e+00]
 [ 3.26068971e-05  8.44872720e-04  4.02581464e-01]]","[[ 6.24274756e+02  3.55483426e+02  3.76885206e+02]
 [-3.30107023e+01 -3.04454637e+02  6.92565241e+02]
 [ 1.87146696e-02  6.10147828e-01  1.00000000e+00]]",17,"[[ 1.79919784e-03  2.63828269e-04 -8.96663723e-01]
 [-1.31325848e-04 -1.60429212e-03  1.11694998e+00]
 [ 3.54757706e-06  8.21220238e-04  4.53785230e-01]]","[[ 5.76923673e+02  3.00190173e+02  4.01090888e+02]
 [-2.22864110e+01 -2.87408952e+02  6.63393137e+02]
 [ 3.58217268e-02  5.17780405e-01  1.00000000e+00]]",17
1,347412.839762,"[[ 1.64288721e-03  2.81313312e-04 -8.14453013e-01]
 [-1.01727505e-04 -1.39468182e-03  1.00192943e+00]
 [ 3.32452245e-05  8.44187293e-04  4.04234784e-01]]","[[ 6.22973750e+02  3.54122019e+02  3.77447914e+02]
 [-3.28950245e+01 -3.05472494e+02  6.90861945e+02]
 [ 1.74617816e-02  6.08812357e-01  1.00000000e+00]]",17,"[[ 1.79959375e-03  2.62188703e-04 -8.95975900e-01]
 [-1.29232641e-04 -1.60374513e-03  1.11359493e+00]
 [ 3.85313836e-06  8.21334666e-04  4.54709974e-01]]","[[ 5.76351360e+02  2.99808559e+02  4.01424309e+02]
 [-2.21071683e+01 -2.88108727e+02  6.62024027e+02]
 [ 3.50478833e-02  5.17865221e-01  1.00000000e+00]]",17
2,347412.872829,"[[ 1.64266554e-03  2.81483324e-04 -8.15706112e-01]
 [-1.01976457e-04 -1.39445530e-03  1.00152393e+00]
 [ 3.34079872e-05  8.43847883e-04  4.04637867e-01]]","[[ 6.23091838e+02  3.54668177e+02  3.78242293e+02]
 [-3.30349737e+01 -3.05906525e+02  6.90557897e+02]
 [ 1.74483138e-02  6.08667264e-01  1.00000000e+00]]",17,"[[ 1.79803321e-03  2.62567810e-04 -8.96702097e-01]
 [-1.29949261e-04 -1.60246139e-03  1.11283894e+00]
 [ 2.88430274e-06  8.21092665e-04  4.55399031e-01]]","[[ 5.77243371e+02  3.00597490e+02  4.02062225e+02]
 [-2.19125617e+01 -2.88501325e+02  6.61851363e+02]
 [ 3.58527312e-02  5.18269235e-01  1.00000000e+00]]",17
3,347412.90671,"[[ 1.64380062e-03  2.82463688e-04 -8.16789773e-01]
 [-1.02515635e-04 -1.39465660e-03  1.00201327e+00]
 [ 3.43743115e-05  8.43403208e-04  4.04490017e-01]]","[[ 6.22564964e+02  3.54808180e+02  3.78210055e+02]
 [-3.35353964e+01 -3.06142213e+02  6.90665233e+02]
 [ 1.70180192e-02  6.08185685e-01  1.00000000e+00]]",17,"[[ 1.79915779e-03  2.63591401e-04 -8.97812453e-01]
 [-1.30496221e-04 -1.60254876e-03  1.11325820e+00]
 [ 3.84771752e-06  8.20725143e-04  4.55180942e-01]]","[[ 5.76771043e+02  3.00767652e+02  4.02038298e+02]
 [-2.23539710e+01 -2.88677760e+02  6.61941618e+02]
 [ 3.54303367e-02  5.17965067e-01  1.00000000e+00]]",17
4,347412.938034,"[[ 1.64367234e-03  2.82360228e-04 -8.16179566e-01]
 [-1.02546347e-04 -1.39505003e-03  1.00220834e+00]
 [ 3.38180418e-05  8.43481855e-04  4.04691254e-01]]","[[ 6.22737575e+02  3.54542222e+02  3.77918994e+02]
 [-3.32997630e+01 -3.05992082e+02  6.90623351e+02]
 [ 1.73662773e-02  6.08139768e-01  1.00000000e+00]]",17,"[[ 1.79942251e-03  2.63449087e-04 -8.97365375e-01]
 [-1.30336225e-04 -1.60321267e-03  1.11350218e+00]
 [ 3.70122630e-06  8.20823343e-04  4.55226471e-01]]","[[ 5.76671422e+02  3.00474105e+02  4.01792096e+02]
 [-2.22604379e+01 -2.88531956e+02  6.61879819e+02]
 [ 3.54493788e-02  5.17811807e-01  1.00000000e+00]]",17
5,347412.966797,"[[ 1.64405623e-03  2.81715527e-04 -8.16262910e-01]
 [-1.01764456e-04 -1.39538496e-03  1.00199350e+00]
 [ 3.37810010e-05  8.43788486e-04  4.04591665e-01]]","[[ 6.22414396e+02  3.54341376e+02  3.78173954e+02]
 [-3.31158480e+01 -3.05790890e+02  6.90496789e+02]
 [ 1.70962246e-02  6.08150999e-01  1.00000000e+00]]",17,"[[ 1.79971031e-03  2.62777731e-04 -8.97386204e-01]
 [-1.29599302e-04 -1.60355903e-03  1.11332080e+00]
 [ 3.55795181e-06  8.21018337e-04  4.55226619e-01]]","[[ 5.76474517e+02  3.00290396e+02  4.01999194e+02]
 [-2.20759863e+01 -2.88394741e+02  6.61791659e+02]
 [ 3.53092730e-02  5.17783763e-01  1.00000000e+00]]",17
6,347412.996803,"[[ 1.64396340e-03  2.82082795e-04 -8.17433929e-01]
 [-1.00772022e-04 -1.39547979e-03  1.00128410e+00]
 [ 3.37847881e-05  8.44740733e-04  4.04191907e-01]]","[[ 6.22267862e+02  3.55094799e+02  3.78810378e+02]
 [-3.29080115e+01 -3.05466781e+02  6.90164499e+02]
 [ 1.67632003e-02  6.08729235e-01  1.00000000e+00]]",17,"[[ 1.79876837e-03  2.63224207e-04 -8.98182507e-01]
 [-1.28904346e-04 -1.60320097e-03  1.11251675e+00]
 [ 2.74155808e-06  8.21806674e-04  4.55213598e-01]]","[[ 5.76896628e+02  3.01052222e+02  4.02520529e+02]
 [-2.16604035e+01 -2.88185127e+02  6.61570276e+02]
 [ 3.56295783e-02  5.18453555e-01  1.00000000e+00]]",17
7,347413.02954899997,"[[ 1.64372665e-03  2.83545399e-04 -8.18683493e-01]
 [-1.00256568e-04 -1.39633463e-03  1.00089357e+00]
 [ 3.34397569e-05  8.45050058e-04  4.04592554e-01]]","[[ 6.22363442e+02  3.55814933e+02  3.79111766e+02]
 [-3.26600656e+01 -3.05464437e+02  6.89580499e+02]
 [ 1.67766510e-02  6.08598387e-01  1.00000000e+00]]",17,"[[ 1.79770630e-03  2.64911353e-04 -8.99139743e-01]
 [-1.28494863e-04 -1.60341146e-03  1.11178680e+00]
 [ 1.79378882e-06  8.22195795e-04  4.55712747e-01]]","[[ 5.77442814e+02  3.01918765e+02  4.02737222e+02]
 [-2.12577467e+01 -2.88177178e+02  6.61113607e+02]
 [ 3.60802273e-02  5.18740122e-01  1.00000000e+00]]",17
8,347413.061312,"[[ 1.64372166e-03  2.84475274e-04 -8.18651569e-01]
 [-1.00873487e-04 -1.39702442e-03  1.00097278e+00]
 [ 3.32521161e-05  8.44483014e-04  4.05426475e-01]]","[[ 6.22543968e+02  3.55734200e+02  3.78777302e+02]
 [-3.27132139e+01 -3.05884218e+02  6.89153445e+02]
 [ 1.70804068e-02  6.07965012e-01  1.00000000e+00]]",17,"[[ 1.79746060e-03  2.66052080e-04 -8.99111045e-01]
 [-1.28953531e-04 -1.60353944e-03  1.11142193e+00]
 [ 1.71557680e-06  8.22042323e-04  4.56149846e-01]]","[[ 5.77631869e+02  3.02131245e+02  4.02411406e+02]
 [-2.13234071e+01 -2.88432788e+02  6.60744309e+02]
 [ 3.62551285e-02  5.18657699e-01  1.00000000e+00]]",17
9,347413.092921,"[[ 1.64439920e-03  2.84349316e-04 -8.17809002e-01]
 [-1.00961354e-04 -1.39701787e-03  1.00084594e+00]
 [ 3.33713987e-05  8.43714123e-04  4.05988483e-01]]","[[ 6.22249024e+02  3.55046482e+02  3.78173348e+02]
 [-3.27913785e+01 -3.06318819e+02  6.89085707e+02]
 [ 1.69985828e-02  6.07399289e-01  1.00000000e+00]]",17,"[[ 1.79879784e-03  2.65967159e-04 -8.98620552e-01]
 [-1.28667889e-04 -1.60365509e-03  1.11114113e+00]
 [ 2.62790884e-06  8.21585757e-04  4.56175312e-01]]","[[ 5.76911431e+02  3.01576089e+02  4.01886881e+02]
 [-2.16160699e+01 -2.88703351e+02  6.60635315e+02]
 [ 3.56077676e-02  5.18226305e-01  1.00000000e+00]]",17
