world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,347609.197343,"[[ 2.37506983e-03 -8.09404969e-04 -1.64832282e+00]
 [-3.73789182e-05 -1.47463031e-03  1.09342921e+00]
 [ 2.64662711e-04  8.91244474e-04  1.11940103e-01]]","[[ 3.22590023e+02  3.90208890e+02  9.38597485e+02]
 [-8.31041595e+01 -1.98752825e+02  7.17702225e+02]
 [-1.01048925e-01  6.59849436e-01  1.00000000e+00]]",13,"[[ 2.95932898e-03 -8.58889427e-04 -2.08461386e+00]
 [-4.66660214e-04 -1.80997742e-03  1.65255218e+00]
 [-1.94665281e-04  8.47159212e-04  5.99093211e-01]]","[[ 4.31520704e+02  2.17373138e+02  9.01919061e+02]
 [ 7.31642018e+00 -2.37464222e+02  6.80484977e+02]
 [ 1.29869484e-01  4.06422577e-01  1.00000000e+00]]",13
1,347609.27983899997,"[[ 2.37660866e-03 -8.11002341e-04 -1.64671324e+00]
 [-3.74640390e-05 -1.47312690e-03  1.09358465e+00]
 [ 2.64603122e-04  8.90543788e-04  1.11929334e-01]]","[[ 3.22467463e+02  3.89557619e+02  9.38066928e+02]
 [-8.31275925e+01 -1.98712073e+02  7.18499456e+02]
 [-1.00930969e-01  6.60091836e-01  1.00000000e+00]]",13,"[[ 2.95931564e-03 -8.60616354e-04 -2.08136044e+00]
 [-4.66806836e-04 -1.80903258e-03  1.65304348e+00]
 [-1.93894326e-04  8.45843681e-04  5.98618638e-01]]","[[ 4.31109214e+02  2.16380999e+02  9.01419418e+02]
 [ 7.13723125e+00 -2.37685573e+02  6.81167793e+02]
 [ 1.29552680e-01  4.05934384e-01  1.00000000e+00]]",13
2,347609.316074,"[[ 2.37684584e-03 -8.11244981e-04 -1.64704326e+00]
 [-3.63717375e-05 -1.47241180e-03  1.09288999e+00]
 [ 2.64341582e-04  8.90104013e-04  1.11905060e-01]]","[[ 3.22326695e+02  3.89679394e+02  9.38378480e+02]
 [-8.30120888e+01 -1.98731341e+02  7.19064827e+02]
 [-1.01112095e-01  6.60230171e-01  1.00000000e+00]]",13,"[[ 2.96099151e-03 -8.60846387e-04 -2.08293196e+00]
 [-4.65966647e-04 -1.80919045e-03  1.65320500e+00]
 [-1.94047716e-04  8.45268762e-04  5.98847543e-01]]","[[ 4.30840343e+02  2.16237395e+02  9.01609071e+02]
 [ 7.25195885e+00 -2.37750085e+02  6.81567407e+02]
 [ 1.29371375e-01  4.05650981e-01  1.00000000e+00]]",13
3,347609.34683,"[[ 2.37412844e-03 -8.12153286e-04 -1.64543632e+00]
 [-3.65967812e-05 -1.47253140e-03  1.09313145e+00]
 [ 2.64344319e-04  8.91235777e-04  1.10964051e-01]]","[[ 3.22669436e+02  3.90376821e+02  9.39032286e+02]
 [-8.31108559e+01 -1.98089594e+02  7.19010744e+02]
 [-1.01154057e-01  6.61030643e-01  1.00000000e+00]]",13,"[[ 2.95954239e-03 -8.62155677e-04 -2.08238632e+00]
 [-4.67179486e-04 -1.81012322e-03  1.65499252e+00]
 [-1.94797927e-04  8.46338883e-04  5.98985641e-01]]","[[ 4.31416280e+02  2.16320036e+02  9.02137349e+02]
 [ 7.38817942e+00 -2.37343464e+02  6.81463248e+02]
 [ 1.29863035e-01  4.05705380e-01  1.00000000e+00]]",13
4,347609.377353,"[[ 2.37521669e-03 -8.11198705e-04 -1.64683237e+00]
 [-3.75289868e-05 -1.47288620e-03  1.09385384e+00]
 [ 2.65729756e-04  8.90534595e-04  1.10468450e-01]]","[[ 3.22149298e+02  3.90195833e+02  9.38808167e+02]
 [-8.35438833e+01 -1.98363610e+02  7.18739383e+02]
 [-1.01440149e-01  6.60487356e-01  1.00000000e+00]]",13,"[[ 2.96006081e-03 -8.60861473e-04 -2.08344971e+00]
 [-4.67827122e-04 -1.80937927e-03  1.65468402e+00]
 [-1.92990473e-04  8.46141594e-04  5.97609141e-01]]","[[ 4.30902570e+02  2.16794577e+02  9.01989739e+02]
 [ 6.90453198e+00 -2.37361822e+02  6.81288202e+02]
 [ 1.29378675e-01  4.06086489e-01  1.00000000e+00]]",13
5,347609.408141,"[[ 2.37550994e-03 -8.10843824e-04 -1.64595084e+00]
 [-3.78684672e-05 -1.47277267e-03  1.09393223e+00]
 [ 2.64808775e-04  8.90430920e-04  1.11654901e-01]]","[[ 3.22589778e+02  3.89616675e+02  9.38182516e+02]
 [-8.32776359e+01 -1.98651641e+02  7.18647704e+02]
 [-1.00950536e-01  6.60173874e-01  1.00000000e+00]]",13,"[[ 2.95824274e-03 -8.60377438e-04 -2.08068861e+00]
 [-4.67505080e-04 -1.80866613e-03  1.65366510e+00]
 [-1.93681974e-04  8.45881778e-04  5.98320265e-01]]","[[ 4.31269653e+02  2.16460862e+02  9.01497264e+02]
 [ 7.05187627e+00 -2.37624714e+02  6.81281379e+02]
 [ 1.29636432e-01  4.06014967e-01  1.00000000e+00]]",13
6,347609.441065,"[[ 2.37502733e-03 -8.12091561e-04 -1.64510994e+00]
 [-3.74800409e-05 -1.47190403e-03  1.09290089e+00]
 [ 2.63970521e-04  8.90541469e-04  1.12338867e-01]]","[[ 3.22899892e+02  3.89594998e+02  9.38384966e+02]
 [-8.30071946e+01 -1.98814180e+02  7.18613548e+02]
 [-1.00719402e-01  6.60596631e-01  1.00000000e+00]]",13,"[[ 2.95820041e-03 -8.62078147e-04 -2.08001031e+00]
 [-4.66711883e-04 -1.80795975e-03  1.65240289e+00]
 [-1.94488694e-04  8.46080754e-04  5.99006036e-01]]","[[ 4.31437376e+02  2.16230654e+02  9.01650403e+02]
 [ 7.27056077e+00 -2.37789043e+02  6.81205394e+02]
 [ 1.29812065e-01  4.06077961e-01  1.00000000e+00]]",13
7,347609.47178,"[[ 2.37368761e-03 -8.12524522e-04 -1.64559512e+00]
 [-3.63930248e-05 -1.47108730e-03  1.09146150e+00]
 [ 2.64177765e-04  8.89988005e-04  1.12223644e-01]]","[[ 3.22728236e+02  3.90000399e+02  9.39281470e+02]
 [-8.30402810e+01 -1.99096722e+02  7.18705278e+02]
 [-1.01162016e-01  6.60861270e-01  1.00000000e+00]]",13,"[[ 2.95943677e-03 -8.62912335e-04 -2.08267771e+00]
 [-4.66123073e-04 -1.80771123e-03  1.65198556e+00]
 [-1.95145998e-04  8.45751589e-04  5.99983550e-01]]","[[ 4.31459195e+02  2.16218393e+02  9.02359378e+02]
 [ 7.42558576e+00 -2.38035451e+02  6.81179059e+02]
 [ 1.29865784e-01  4.05866152e-01  1.00000000e+00]]",13
8,347609.502675,"[[ 2.37240380e-03 -8.09446299e-04 -1.64685169e+00]
 [-3.60163772e-05 -1.46988873e-03  1.09114420e+00]
 [ 2.64013553e-04  8.89431663e-04  1.12159028e-01]]","[[ 3.22882599e+02  3.90742076e+02  9.39592702e+02]
 [-8.30744000e+01 -1.99321189e+02  7.19308510e+02]
 [-1.01252486e-01  6.60859623e-01  1.00000000e+00]]",13,"[[ 2.96007913e-03 -8.59410612e-04 -2.08587226e+00]
 [-4.66430937e-04 -1.80731242e-03  1.65290017e+00]
 [-1.95558126e-04  8.44954170e-04  6.00559901e-01]]","[[ 4.31608093e+02  2.16730340e+02  9.02567307e+02]
 [ 7.49800317e+00 -2.38198658e+02  6.81628059e+02]
 [ 1.29993696e-01  4.05705290e-01  1.00000000e+00]]",13
9,347609.535614,"[[ 2.37266718e-03 -8.08125737e-04 -1.64691564e+00]
 [-3.58994948e-05 -1.46910472e-03  1.09145662e+00]
 [ 2.64143345e-04  8.89813722e-04  1.11224807e-01]]","[[ 3.22813167e+02  3.91373783e+02  9.39345707e+02]
 [-8.31630765e+01 -1.98856145e+02  7.19985835e+02]
 [-1.01320049e-01  6.61418515e-01  1.00000000e+00]]",13,"[[ 2.96005300e-03 -8.57631668e-04 -2.08582254e+00]
 [-4.66836632e-04 -1.80727475e-03  1.65415105e+00]
 [-1.95121144e-04  8.44861533e-04  5.99698245e-01]]","[[ 4.31538578e+02  2.17027894e+02  9.02313756e+02]
 [ 7.44325471e+00 -2.37939097e+02  6.82197289e+02]
 [ 1.29921643e-01  4.05824636e-01  1.00000000e+00]]",13
10,347609.567652,"[[ 2.37257720e-03 -8.08865855e-04 -1.64514606e+00]
 [-3.62000836e-05 -1.46811620e-03  1.09233339e+00]
 [ 2.63641181e-04  8.90173860e-04  1.10688964e-01]]","[[ 3.23094912e+02  3.91440138e+02  9.39164907e+02]
 [-8.31291134e+01 -1.98248073e+02  7.20879954e+02]
 [-1.01019649e-01  6.61994742e-01  1.00000000e+00]]",13,"[[ 2.95963377e-03 -8.58289113e-04 -2.08368117e+00]
 [-4.67848377e-04 -1.80751049e-03  1.65642151e+00]
 [-1.94908384e-04  8.44599711e-04  5.99028690e-01]]","[[ 4.31527168e+02  2.16607737e+02  9.02079196e+02]
 [ 7.40653180e+00 -2.37654409e+02  6.82920088e+02]
 [ 1.29964908e-01  4.05559054e-01  1.00000000e+00]]",13
11,347609.601035,"[[ 2.37321421e-03 -8.10531481e-04 -1.64472926e+00]
 [-3.55103376e-05 -1.46828084e-03  1.09262927e+00]
 [ 2.63631525e-04  8.90532534e-04  1.09874252e-01]]","[[ 3.22870061e+02  3.91545761e+02  9.39432820e+02]
 [-8.30987763e+01 -1.97635340e+02  7.21435340e+02]
 [-1.01175321e-01  6.62365323e-01  1.00000000e+00]]",13,"[[ 2.96102053e-03 -8.60022133e-04 -2.08384775e+00]
 [-4.67920425e-04 -1.80890805e-03  1.65824361e+00]
 [-1.94958861e-04  8.44621449e-04  5.98747023e-01]]","[[ 4.31294236e+02  2.16219059e+02  9.02230209e+02]
 [ 7.48846175e+00 -2.37319686e+02  6.83324763e+02]
 [ 1.29870738e-01  4.05177996e-01  1.00000000e+00]]",13
12,347609.633126,"[[ 2.37137072e-03 -8.10688682e-04 -1.64397299e+00]
 [-3.51974056e-05 -1.46810537e-03  1.09255870e+00]
 [ 2.63498684e-04  8.90837763e-04  1.09436601e-01]]","[[ 3.23068703e+02  3.91969049e+02  9.39969140e+02]
 [-8.31177494e+01 -1.97352737e+02  7.21660885e+02]
 [-1.01280082e-01  6.62721082e-01  1.00000000e+00]]",13,"[[ 2.96073171e-03 -8.60273830e-04 -2.08450541e+00]
 [-4.68181438e-04 -1.80943611e-03  1.65924256e+00]
 [-1.95332581e-04  8.44988571e-04  5.98811991e-01]]","[[ 4.31518193e+02  2.16360560e+02  9.02632822e+02]
 [ 7.59571641e+00 -2.37108559e+02  6.83443099e+02]
 [ 1.30042935e-01  4.05162710e-01  1.00000000e+00]]",13
13,347609.665088,"[[ 2.37089850e-03 -8.09687099e-04 -1.64433571e+00]
 [-3.54425312e-05 -1.46811175e-03  1.09288967e+00]
 [ 2.63768918e-04  8.90941068e-04  1.09035948e-01]]","[[ 3.23064883e+02  3.92290708e+02  9.40026331e+02]
 [-8.32425478e+01 -1.97250148e+02  7.21724867e+02]
 [-1.01345203e-01  6.62755389e-01  1.00000000e+00]]",13,"[[ 2.96050625e-03 -8.58987816e-04 -2.08525922e+00]
 [-4.68652609e-04 -1.80937324e-03  1.65974622e+00]
 [-1.95080067e-04  8.45209858e-04  5.98393835e-01]]","[[ 4.31577253e+02  2.16777093e+02  9.02675549e+02]
 [ 7.52610820e+00 -2.36968612e+02  6.83499092e+02]
 [ 1.30066478e-01  4.05380341e-01  1.00000000e+00]]",13
14,347609.701069,"[[ 2.37078759e-03 -8.10408765e-04 -1.64369824e+00]
 [-3.59194738e-05 -1.46869983e-03  1.09322612e+00]
 [ 2.63943672e-04  8.91549325e-04  1.08789470e-01]]","[[ 3.23103587e+02  3.92264558e+02  9.39897373e+02]
 [-8.32955611e+01 -1.97021866e+02  7.21362854e+02]
 [-1.01287797e-01  6.62922282e-01  1.00000000e+00]]",13,"[[ 2.95972107e-03 -8.60035339e-04 -2.08387565e+00]
 [-4.69094379e-04 -1.80991701e-03  1.65998490e+00]
 [-1.94972839e-04  8.45655346e-04  5.98213490e-01]]","[[ 4.31661089e+02  2.16613476e+02  9.02609095e+02]
 [ 7.47070078e+00 -2.36836438e+02  6.83222510e+02]
 [ 1.30128376e-01  4.05399993e-01  1.00000000e+00]]",13
